,word,transcript,freq,corr
91,"['с', 'в', 'о', 'й']","['s', 'v', 'o0', 'j']",128412,"[('с', 's'), ('в', 'v'), ('о', 'o0'), ('й', 'j')]"
92,"['п', 'р', 'о']","['p', 'r', 'o0']",127706,"[('п', 'p'), ('р', 'r'), ('о', 'o0')]"
93,"['в', 'с', 'ю']","['f', ""s'"", 'u0']",124481,"[('в', 'f'), ('с', ""s'""), ('ю', 'u0')]"
94,"['д', 'н', 'я']","[""d'"", ""n'"", 'a0']",123372,"[('д', ""d'""), ('н', ""n'""), ('я', 'a0')]"
95,"['н', 'ё', 'м']","[""n'"", 'o0', 'm']",122767,"[('н', ""n'""), ('ё', 'o0'), ('м', 'm')]"
96,"['в', 'с', 'ё']","['f', ""s'"", 'o0']",122062,"[('в', 'f'), ('с', ""s'""), ('ё', 'o0')]"
97,"['к', 'о']","['k', 'o0']",119744,"[('к', 'k'), ('о', 'o0')]"
98,"['т', 'р', 'и']","['t', ""r'"", 'i0']",115006,"[('т', 't'), ('р', ""r'""), ('и', 'i0')]"
99,"['ж', 'и', 'з', 'н', 'ь']","['zh', 'y0', ""z'"", ""n'""]",114805,"[('ж', 'zh'), ('и', 'y0'), ('з', ""z'""), ('н', ""n'""), ('ь', '-')]"
100,"['ж', 'и', 'з', 'н', 'ь']","['zh', 'y0', ""z'"", ""n'""]",106338,"[('ж', 'zh'), ('и', 'y0'), ('з', ""z'""), ('н', ""n'""), ('ь', '-')]"
101,"['т', 'о']","['t', 'o0']",101601,"[('т', 't'), ('о', 'o0')]"
102,"['н', 'е', 'й']","[""n'"", 'e0', 'j']",100593,"[('н', ""n'""), ('е', 'e0'), ('й', 'j')]"
103,"['д', 'в', 'а']","['d', 'v', 'a0']",98678,"[('д', 'd'), ('в', 'v'), ('а', 'a0')]"
104,"['ч', 'т', 'о', 'б']","['sh', 't', 'o0', 'p']",97267,"[('ч', 'sh'), ('т', 't'), ('о', 'o0'), ('б', 'p')]"
105,"['в', 'с', 'я']","['f', ""s'"", 'a0']",96763,"[('в', 'f'), ('с', ""s'""), ('я', 'a0')]"
106,"['в', 'а', 'с']","['v', 'a0', 's']",94747,"[('в', 'v'), ('а', 'a0'), ('с', 's')]"
107,"['т', 'е', 'х']","[""t'"", 'e0', 'h']",93638,"[('т', ""t'""), ('е', 'e0'), ('х', 'h')]"
108,"['ч', 'у', 'т', 'ь']","['ch', 'u0', ""t'""]",93033,"[('ч', 'ch'), ('у', 'u0'), ('т', ""t'""), ('ь', '-')]"
109,"['д', 'р', 'у', 'г']","['d', 'r', 'u0', 'k']",92731,"[('д', 'd'), ('р', 'r'), ('у', 'u0'), ('г', 'k')]"
110,"['ч', 'ё', 'м']","['ch', 'o0', 'm']",89001,"[('ч', 'ch'), ('ё', 'o0'), ('м', 'm')]"
111,"['е', 'с', 'т', 'ь']","['j', 'e0', ""s'"", ""t'""]",86784,"[('е', 'je0'), ('с', ""s'""), ('т', ""t'""), ('ь', '-')]"
112,"['п', 'о', 'р']","['p', 'o0', 'r']",86683,"[('п', 'p'), ('о', 'o0'), ('р', 'r')]"
113,"['ж', 'и', 'т', 'ь']","['zh', 'y0', ""t'""]",84264,"[('ж', 'zh'), ('и', 'y0'), ('т', ""t'""), ('ь', '-')]"
114,"['г', 'о', 'д']","['g', 'o0', 't']",83659,"[('г', 'g'), ('о', 'o0'), ('д', 't')]"
115,"['т', 'е']","[""t'"", 'e0']",83155,"[('т', ""t'""), ('е', 'e0')]"
116,"['х', 'о', 'т', 'ь']","['h', 'o0', ""t'""]",80938,"[('х', 'h'), ('о', 'o0'), ('т', ""t'""), ('ь', '-')]"
117,"['м', 'н', 'о', 'й']","['m', 'n', 'o0', 'j']",77612,"[('м', 'm'), ('н', 'n'), ('о', 'o0'), ('й', 'j')]"
118,"['б', 'о', 'г']","['b', 'o0', 'h']",76201,"[('б', 'b'), ('о', 'o0'), ('г', 'h')]"
119,"['н', 'е', 'й']","[""n'"", 'e0', 'j']",72975,"[('н', ""n'""), ('е', 'e0'), ('й', 'j')]"
120,"['д', 'в', 'у', 'х']","['d', 'v', 'u0', 'h']",71766,"[('д', 'd'), ('в', 'v'), ('у', 'u0'), ('х', 'h')]"
121,"['п', 'у', 'с', 'т', 'ь']","['p', 'u0', ""s'"", ""t'""]",71766,"[('п', 'p'), ('у', 'u0'), ('с', ""s'""), ('т', ""t'""), ('ь', '-')]"
122,"['м', 'а', 'т', 'ь']","['m', 'a0', ""t'""]",71766,"[('м', 'm'), ('а', 'a0'), ('т', ""t'""), ('ь', '-')]"
123,"['и', 'м']","['i0', 'm']",71564,"[('и', 'i0'), ('м', 'm')]"
124,"['в', 'е', 'с', 'ь']","[""v'"", 'e0', ""s'""]",71262,"[('в', ""v'""), ('е', 'e0'), ('с', ""s'""), ('ь', '-')]"
125,"['д', 'н', 'е', 'й']","[""d'"", ""n'"", 'e0', 'j']",70959,"[('д', ""d'""), ('н', ""n'""), ('е', 'e0'), ('й', 'j')]"
126,"['т', 'р', 'и']","['t', ""r'"", 'i0']",70455,"[('т', 't'), ('р', ""r'""), ('и', 'i0')]"
127,"['н', 'а', 'ш']","['n', 'a0', 'sh']",68036,"[('н', 'n'), ('а', 'a0'), ('ш', 'sh')]"
128,"['ч', 'е', 'м']","['ch', 'e0', 'm']",67331,"[('ч', 'ch'), ('е', 'e0'), ('м', 'm')]"
129,"['в', 'е', 'с', 'ь']","[""v'"", 'e0', ""s'""]",64912,"[('в', ""v'""), ('е', 'e0'), ('с', ""s'""), ('ь', '-')]"
130,"['р', 'а', 'з']","['r', 'a0', 's']",63601,"[('р', 'r'), ('а', 'a0'), ('з', 's')]"
131,"['к', 'н', 'я', 'з', 'ь']","['k', ""n'"", 'a0', ""s'""]",61888,"[('к', 'k'), ('н', ""n'""), ('я', 'a0'), ('з', ""s'""), ('ь', '-')]"
132,"['д', 'в', 'е']","['d', ""v'"", 'e0']",61485,"[('д', 'd'), ('в', ""v'""), ('е', 'e0')]"
133,"['т', 'у']","['t', 'u0']",60981,"[('т', 't'), ('у', 'u0')]"
134,"['т', 'о', 'т']","['t', 'o0', 't']",60981,"[('т', 't'), ('о', 'o0'), ('т', 't')]"
135,"['т', 'а']","['t', 'a0']",60477,"[('т', 't'), ('а', 'a0')]"
136,"['н', 'и', 'х']","[""n'"", 'i0', 'h']",59569,"[('н', ""n'""), ('и', 'i0'), ('х', 'h')]"
137,"['д', 'е', 'н', 'ь']","[""d'"", 'e0', ""n'""]",58360,"[('д', ""d'""), ('е', 'e0'), ('н', ""n'""), ('ь', '-')]"
138,"['с', 'ы', 'н']","['s', 'y0', 'n']",56646,"[('с', 's'), ('ы', 'y0'), ('н', 'n')]"
139,"['ч', 'а', 'с', 'т', 'ь']","['ch', 'a0', ""s'"", ""t'""]",56243,"[('ч', 'ch'), ('а', 'a0'), ('с', ""s'""), ('т', ""t'""), ('ь', '-')]"
140,"['т', 'о', 'м']","['t', 'o0', 'm']",56042,"[('т', 't'), ('о', 'o0'), ('м', 'm')]"
141,"['н', 'е', 'й']","[""n'"", 'e0', 'j']",55638,"[('н', ""n'""), ('е', 'e0'), ('й', 'j')]"
142,"['д', 'в', 'е']","['d', ""v'"", 'e0']",55538,"[('д', 'd'), ('в', ""v'""), ('е', 'e0')]"
143,"['с', 'и', 'х']","[""s'"", 'i0', 'h']",55336,"[('с', ""s'""), ('и', 'i0'), ('х', 'h')]"
144,"['д', 'а', 'т', 'ь']","['d', 'a0', ""t'""]",54731,"[('д', 'd'), ('а', 'a0'), ('т', ""t'""), ('ь', '-')]"
145,"['в', 'з', 'я', 'л']","['v', ""z'"", 'a0', 'l']",54328,"[('в', 'v'), ('з', ""z'""), ('я', 'a0'), ('л', 'l')]"
146,"['д', 'о', 'м']","['d', 'o0', 'm']",54227,"[('д', 'd'), ('о', 'o0'), ('м', 'm')]"
147,"['ш', 'ё', 'л']","['sh', 'o0', 'l']",54127,"[('ш', 'sh'), ('ё', 'o0'), ('л', 'l')]"
148,"['с', 'т', 'о', 'л', 'ь']","['s', 't', 'o0', ""l'""]",53925,"[('с', 's'), ('т', 't'), ('о', 'o0'), ('л', ""l'""), ('ь', '-')]"
149,"['н', 'о', 'ч', 'ь']","['n', 'o0', 'ch']",53522,"[('н', 'n'), ('о', 'o0'), ('ч', 'ch'), ('ь', '-')]"
150,"['в', 'с', 'е', 'х']","['f', ""s'"", 'e0', 'h']",52514,"[('в', 'f'), ('с', ""s'""), ('е', 'e0'), ('х', 'h')]"
151,"['п', 'я', 'т', 'ь']","[""p'"", 'a0', ""t'""]",52312,"[('п', ""p'""), ('я', 'a0'), ('т', ""t'""), ('ь', '-')]"
152,"['и', 'х']","['i0', 'h']",52010,"[('и', 'i0'), ('х', 'h')]"
153,"['д', 'в', 'е', 'р', 'ь']","['d', ""v'"", 'e0', ""r'""]",50498,"[('д', 'd'), ('в', ""v'""), ('е', 'e0'), ('р', ""r'""), ('ь', '-')]"
154,"['с', 'и', 'л']","[""s'"", 'i0', 'l']",49994,"[('с', ""s'""), ('и', 'i0'), ('л', 'l')]"
155,"['о', 'н']","['o0', 'n']",49188,"[('о', 'o0'), ('н', 'n')]"
156,"['с', 'к', 'в', 'о', 'з', 'ь']","['s', 'k', 'v', 'o0', ""s'""]",48482,"[('с', 's'), ('к', 'k'), ('в', 'v'), ('о', 'o0'), ('з', ""s'""), ('ь', '-')]"
157,['я'],"['j', 'a0']",48482,"[('я', 'ja0')]"
158,"['д', 'н', 'и']","[""d'"", ""n'"", 'i0']",48381,"[('д', ""d'""), ('н', ""n'""), ('и', 'i0')]"
159,"['з', 'н', 'а', 'л']","['z', 'n', 'a0', 'l']",47978,"[('з', 'z'), ('н', 'n'), ('а', 'a0'), ('л', 'l')]"
160,"['в', 'с', 'е', 'м']","['f', ""s'"", 'e0', 'm']",47071,"[('в', 'f'), ('с', ""s'""), ('е', 'e0'), ('м', 'm')]"
161,"['в', 'з', 'я', 'т', 'ь']","['v', ""z'"", 'a0', ""t'""]",47071,"[('в', 'v'), ('з', ""z'""), ('я', 'a0'), ('т', ""t'""), ('ь', '-')]"
162,"['а', 'х']","['a0', 'h']",47071,"[('а', 'a0'), ('х', 'h')]"
163,"['в', 'н', 'о', 'в', 'ь']","['v', 'n', 'o0', ""f'""]",46265,"[('в', 'v'), ('н', 'n'), ('о', 'o0'), ('в', ""f'""), ('ь', '-')]"
164,"['с', 'л', 'о', 'в']","['s', 'l', 'o0', 'f']",45357,"[('с', 's'), ('л', 'l'), ('о', 'o0'), ('в', 'f')]"
165,"['б', 'р', 'а', 'т']","['b', 'r', 'a0', 't']",45357,"[('б', 'b'), ('р', 'r'), ('а', 'a0'), ('т', 't')]"
166,"['в', 'с', 'е', 'х']","['f', ""s'"", 'e0', 'h']",44954,"[('в', 'f'), ('с', ""s'""), ('е', 'e0'), ('х', 'h')]"
167,"['м', 'ы', 'с', 'л', 'ь']","['m', 'y0', 's', ""l'""]",44954,"[('м', 'm'), ('ы', 'y0'), ('с', 's'), ('л', ""l'""), ('ь', '-')]"
168,['о'],['o0'],44954,"[('о', 'o0')]"
169,"['м', 'и', 'р']","[""m'"", 'i0', 'r']",44249,"[('м', ""m'""), ('и', 'i0'), ('р', 'r')]"
170,"['д', 'а', 'л']","['d', 'a0', 'l']",43745,"[('д', 'd'), ('а', 'a0'), ('л', 'l')]"
171,"['т', 'о', 'й']","['t', 'o0', 'j']",43039,"[('т', 't'), ('о', 'o0'), ('й', 'j')]"
172,"['ч', 'а', 'с']","['ch', 'a0', 's']",42132,"[('ч', 'ch'), ('а', 'a0'), ('с', 's')]"
173,"['т', 'е']","[""t'"", 'e0']",42132,"[('т', ""t'""), ('е', 'e0')]"
174,"['н', 'и', 'х']","[""n'"", 'i0', 'h']",41426,"[('н', ""n'""), ('и', 'i0'), ('х', 'h')]"
175,"['д', 'е', 'л']","[""d'"", 'e0', 'l']",41426,"[('д', ""d'""), ('е', 'e0'), ('л', 'l')]"
176,"['н', 'и', 'м']","[""n'"", 'i0', 'm']",41023,"[('н', ""n'""), ('и', 'i0'), ('м', 'm')]"
177,"['р', 'е', 'ч', 'ь']","[""r'"", 'e0', 'ch']",40822,"[('р', ""r'""), ('е', 'e0'), ('ч', 'ch'), ('ь', '-')]"
178,"['д', 'о', 'м']","['d', 'o0', 'm']",40620,"[('д', 'd'), ('о', 'o0'), ('м', 'm')]"
179,"['в', 'с', 'е', 'х']","['f', ""s'"", 'e0', 'h']",40318,"[('в', 'f'), ('с', ""s'""), ('е', 'e0'), ('х', 'h')]"
180,"['п', 'ё', 'т', 'р']","[""p'"", 'o0', 't', 'r']",40217,"[('п', ""p'""), ('ё', 'o0'), ('т', 't'), ('р', 'r')]"
181,"['ч', 'а', 'с', 'т', 'ь']","['ch', 'a0', ""s'"", ""t'""]",40116,"[('ч', 'ch'), ('а', 'a0'), ('с', ""s'""), ('т', ""t'""), ('ь', '-')]"
182,"['м', 'и', 'р']","[""m'"", 'i0', 'r']",39511,"[('м', ""m'""), ('и', 'i0'), ('р', 'r')]"
183,"['в', 'с', 'е', 'х']","['f', ""s'"", 'e0', 'h']",39209,"[('в', 'f'), ('с', ""s'""), ('е', 'e0'), ('х', 'h')]"
184,"['р', 'о', 'л', 'ь']","['r', 'o0', ""l'""]",39209,"[('р', 'r'), ('о', 'o0'), ('л', ""l'""), ('ь', '-')]"
185,"['д', 'н', 'ё', 'м']","[""d'"", ""n'"", 'o0', 'm']",38907,"[('д', ""d'""), ('н', ""n'""), ('ё', 'o0'), ('м', 'm')]"
186,"['т', 'о', 'м']","['t', 'o0', 'm']",38806,"[('т', 't'), ('о', 'o0'), ('м', 'm')]"
187,"['т', 'р', 'ё', 'х']","['t', ""r'"", 'o0', 'h']",38201,"[('т', 't'), ('р', ""r'""), ('ё', 'o0'), ('х', 'h')]"
188,"['ш', 'л', 'и']","['sh', ""l'"", 'i0']",38201,"[('ш', 'sh'), ('л', ""l'""), ('и', 'i0')]"
189,"['в', 'с', 'е', 'м']","['f', ""s'"", 'e0', 'm']",38100,"[('в', 'f'), ('с', ""s'""), ('е', 'e0'), ('м', 'm')]"
190,"['ж', 'и', 'л']","['zh', 'y0', 'l']",37999,"[('ж', 'zh'), ('и', 'y0'), ('л', 'l')]"
191,"['з', 'н', 'а', 'л']","['z', 'n', 'a0', 'l']",37495,"[('з', 'z'), ('н', 'n'), ('а', 'a0'), ('л', 'l')]"
192,"['д', 'р', 'у', 'г']","['d', 'r', 'u0', 'k']",36891,"[('д', 'd'), ('р', 'r'), ('у', 'u0'), ('г', 'k')]"
193,"['п', 'у', 'т', 'ь']","['p', 'u0', ""t'""]",36790,"[('п', 'p'), ('у', 'u0'), ('т', ""t'""), ('ь', '-')]"
194,['а'],['a0'],36488,"[('а', 'a0')]"
195,"['в', 'н', 'и', 'з']","['v', ""n'"", 'i0', 's']",35984,"[('в', 'v'), ('н', ""n'""), ('и', 'i0'), ('з', 's')]"
196,"['с', 'т', 'а', 'т', 'ь']","['s', 't', 'a0', ""t'""]",35782,"[('с', 's'), ('т', 't'), ('а', 'a0'), ('т', ""t'""), ('ь', '-')]"
197,"['м', 'н', 'е']","['m', ""n'"", 'e0']",35681,"[('м', 'm'), ('н', ""n'""), ('е', 'e0')]"
198,"['г', 'л', 'а', 'з']","['g', 'l', 'a0', 's']",35177,"[('г', 'g'), ('л', 'l'), ('а', 'a0'), ('з', 's')]"
199,"['т', 'о']","['t', 'o0']",34068,"[('т', 't'), ('о', 'o0')]"
200,"['с', 'п', 'а', 'т', 'ь']","['s', 'p', 'a0', ""t'""]",33968,"[('с', 's'), ('п', 'p'), ('а', 'a0'), ('т', ""t'""), ('ь', '-')]"
201,"['ш', 'л', 'а']","['sh', 'l', 'a0']",33766,"[('ш', 'sh'), ('л', 'l'), ('а', 'a0')]"
202,"['с', 'т', 'о', 'л']","['s', 't', 'o0', 'l']",33766,"[('с', 's'), ('т', 't'), ('о', 'o0'), ('л', 'l')]"
203,"['в', 'с', 'е', 'й']","['f', ""s'"", 'e0', 'j']",33665,"[('в', 'f'), ('с', ""s'""), ('е', 'e0'), ('й', 'j')]"
204,"['с', 'р', 'е', 'д', 'с', 'т', 'в']","['s', ""r'"", 'e0', 'c', 't', 'f']",33665,"[('с', 's'), ('р', ""r'""), ('е', 'e0'), ('д', '-'), ('с', 'c'), ('т', 't'), ('в', 'f')]"
205,"['р', 'у', 'к']","['r', 'u0', 'k']",33565,"[('р', 'r'), ('у', 'u0'), ('к', 'k')]"
206,"['с', 'ч', 'ё', 'т']","['sc', 'o0', 't']",33061,"[('с', '-'), ('ч', 'sc'), ('ё', 'o0'), ('т', 't')]"
207,"['с', 'е', 'л']","[""s'"", 'e0', 'l']",32859,"[('с', ""s'""), ('е', 'e0'), ('л', 'l')]"
208,"['в', 'и', 'д']","[""v'"", 'i0', 't']",31851,"[('в', ""v'""), ('и', 'i0'), ('д', 't')]"
209,"['м', 'у', 'ж']","['m', 'u0', 'sh']",31750,"[('м', 'm'), ('у', 'u0'), ('ж', 'sh')]"
210,"['в', 'з', 'г', 'л', 'я', 'д']","['v', 'z', 'g', ""l'"", 'a0', 't']",31347,"[('в', 'v'), ('з', 'z'), ('г', 'g'), ('л', ""l'""), ('я', 'a0'), ('д', 't')]"
211,"['в', 'с', 'т', 'а', 'л']","['f', 's', 't', 'a0', 'l']",31145,"[('в', 'f'), ('с', 's'), ('т', 't'), ('а', 'a0'), ('л', 'l')]"
