word,pos,grapheme,phoneme_real,freq
аккуратная,5,р,r,8
аккуратная,6,а,a,8
аккуратная,7,т,t,8
аккуратная,8,н,n,8
аккуратная,9,а,a,8
аккуратная,10,я,ja,8
аккуратно,1,а,a,14
аккуратно,2,к,k,14
аккуратно,3,к,-,14
аккуратно,4,у,u,14
аккуратно,5,р,r,14
аккуратно,6,а,a,14
аккуратно,7,т,t,14
аккуратно,8,н,n,14
аккуратно,9,о,a,14
аккуратный,1,а,a,3
аккуратный,2,к,k,3
аккуратный,3,к,-,3
аккуратный,4,у,u,3
аккуратный,5,р,r,3
аккуратный,6,а,a,3
аккуратный,7,т,t,3
аккуратный,8,н,n,3
аккуратный,9,ы,y,3
аккуратный,10,й,j,3
аксиому,1,а,a,3
аксиому,2,к,k,3
аксиому,3,с,s',3
аксиому,4,и,i,3
аксиому,5,о,o,3
аксиому,6,м,m,3
аксиому,7,у,u,3
алебастром,1,а,a,8
алебастром,2,л,l',8
алебастром,3,е,i,8
алебастром,4,б,b,8
алебастром,5,а,a,8
алебастром,6,с,s,8
алебастром,7,т,t,8
алебастром,8,р,r,8
алебастром,9,о,a,8
алебастром,10,м,m,8
алексеевич,1,а,a,26
алексеевич,2,л,l',26
алексеевич,3,е,i,26
алексеевич,4,к,k,26
алексеевич,5,с,s',26
алексеевич,6,е,e,26
алексеевич,7,е,ji,26
алексеевич,8,в,v',26
алексеевич,9,и,i,26
алексеевич,10,ч,ch,26
алексеевича,1,а,a,15
алексеевича,2,л,l',15
алексеевича,3,е,i,15
алексеевича,4,к,k,15
алексеевича,5,с,s',15
алексеевича,6,е,e,15
алексеевича,7,е,ji,15
алексеевича,8,в,v',15
алексеевича,9,и,i,15
алексеевича,10,ч,ch,15
алексеевича,11,а,a,15
алексеевичем,1,а,a,3
алексеевичем,2,л,l',3
алексеевичем,3,е,i,3
алексеевичем,4,к,k,3
алексеевичем,5,с,s',3
алексеевичем,6,е,e,3
алексеевичем,7,е,ji,3
алексеевичем,8,в,v',3
алексеевичем,9,и,i,3
алексеевичем,10,ч,ch,3
алексеевичем,11,е,i,3
алексеевичем,12,м,m,3
алексеевна,1,а,a,8
алексеевна,2,л,l',8
алексеевна,3,е,i,8
алексеевна,4,к,k,8
алексеевна,5,с,s',8
алексеевна,6,е,e,8
алексеевна,7,е,ji,8
алексеевна,8,в,v,8
алексеевна,9,н,n,8
алексеевна,10,а,a,8
алексеевной,1,а,a,2
алексеевной,2,л,l',2
алексеевной,3,е,i,2
алексеевной,4,к,k,2
алексеевной,5,с,s',2
алексеевной,6,е,e,2
алексеевной,7,е,ji,2
алексеевной,8,в,v,2
алексеевной,9,н,n,2
алексеевной,10,о,a,2
алексеевной,11,й,j,2
алексеевны,1,а,a,16
алексеевны,2,л,l',16
алексеевны,3,е,i,16
алексеевны,4,к,k,16
алексеевны,5,с,s',16
алексеевны,6,е,e,16
алексеевны,7,е,i,16
алексеевны,8,в,v,16
алексеевны,9,н,n,16
алексеевны,10,ы,y,16
алексей,1,а,a,13
алексей,2,л,l',13
алексей,3,е,i,13
алексей,4,к,k,13
алексей,5,с,s',13
алексей,6,е,e,13
алексей,7,й,j,13
алексея,1,а,a,8
алексея,2,л,l',8
алексея,3,е,i,8
алексея,4,к,k,8
алексея,5,с,s',8
алексея,6,е,e,8
алексея,7,я,ja,8
алексин,1,а,a,8
алексин,2,л,l',8
алексин,3,е,e,8
алексин,4,к,k,8
алексин,5,с,s',8
алексин,6,и,i,8
алексин,7,н,n,8
алик,1,а,a,65
алик,2,л,l',65
алик,3,и,i,65
алик,4,к,k,65
амбиция,1,а,a,8
амбиция,2,м,m,8
амбиция,3,б,b',8
амбиция,4,и,i,8
амбиция,5,ц,c,8
амбиция,6,и,y,8
амбиция,7,я,ja,8
ан,1,а,a,1
ан,2,н,n,1
аналогичного,1,а,a,3
аналогичного,2,н,n,3
аналогичного,3,а,a,3
аналогичного,4,л,l,3
аналогичного,5,о,a,3
аналогичного,6,г,g',3
аналогичного,7,и,i,3
аналогичного,8,ч,ch,3
аналогичного,9,н,n,3
аналогичного,10,о,a,3
аналогичного,11,г,v,3
аналогичного,12,о,a,3
анатолий,1,а,a,8
анатолий,2,н,n,8
анатолий,3,а,a,8
анатолий,4,т,t,8
анатолий,5,о,o,8
анатолий,6,л,l',8
анатолий,7,и,i,8
анатолий,8,й,j,8
английский,1,а,a,8
английский,2,н,n,8
английский,3,г,g,8
английский,4,л,l',8
английский,5,и,i,8
английский,6,й,j,8
английский,7,с,s,8
английский,8,к,k',8
английский,9,и,i,8
английский,10,й,j,8
английским,1,а,a,8
английским,2,н,n,8
английским,3,г,g,8
английским,4,л,l',8
английским,5,и,i,8
английским,6,й,j,8
английским,7,с,s,8
английским,8,к,k',8
английским,9,и,i,8
английским,10,м,m,8
английских,1,а,a,8
английских,2,н,n,8
английских,3,г,g,8
английских,4,л,l',8
английских,5,и,i,8
английских,6,й,j,8
английских,7,с,s,8
английских,8,к,k',8
английских,9,и,i,8
английских,10,х,h,8
английского,1,а,a,3
английского,2,н,n,3
английского,3,г,g,3
английского,4,л,l',3
английского,5,и,i,3
английского,6,й,j,3
английского,7,с,s,3
английского,8,к,k,3
английского,9,о,a,3
английского,10,г,v,3
английского,11,о,a,3
андреевна,1,а,a,3
андреевна,2,н,n,3
андреевна,3,д,d,3
андреевна,4,р,r',3
андреевна,5,е,e,3
андреевна,6,е,i,3
андреевна,7,в,v,3
андреевна,8,н,n,3
андреевна,9,а,a,3
андрюше,1,а,a,3
андрюше,2,н,n,3
андрюше,3,д,d,3
андрюше,4,р,r',3
андрюше,5,ю,u,3
андрюше,6,ш,sh,3
андрюше,7,е,y,3
антонины,1,а,a,8
антонины,2,н,n,8
антонины,3,т,t,8
антонины,4,о,a,8
антонины,5,н,n',8
антонины,6,и,i,8
антонины,7,н,n,8
антонины,8,ы,y,8
апоплексическим,1,а,a,3
апоплексическим,2,п,p,3
апоплексическим,3,о,a,3
апоплексическим,4,п,p,3
апоплексическим,5,л,l',3
апоплексическим,6,е,i,3
апоплексическим,7,к,k,3
апоплексическим,8,с,s',3
апоплексическим,9,и,i,3
апоплексическим,10,ч,ch,3
апоплексическим,11,е,i,3
апоплексическим,12,с,s,3
апоплексическим,13,к,k',3
апоплексическим,14,и,i,3
апоплексическим,15,м,m,3
аппарат,1,а,a,6
аппарат,2,п,p,6
аппарат,3,п,-,6
аппарат,4,а,a,6
аппарат,5,р,r,6
аппарат,6,а,a,6
аппарат,7,т,t,6
арбитра,1,а,a,3
арбитра,2,р,r,3
арбитра,3,б,b',3
арбитра,4,и,i,3
арбитра,5,т,t,3
арбитра,6,р,r,3
арбитра,7,а,a,3
аргентинской,1,а,a,3
аргентинской,2,р,r,3
аргентинской,3,г,g',3
аргентинской,4,е,i,3
аргентинской,5,н,n',3
аргентинской,6,т,t',3
аргентинской,7,и,i,3
аргентинской,8,н,n,3
аргентинской,9,с,s,3
аргентинской,10,к,k,3
аргентинской,11,о,a,3
аргентинской,12,й,j,3
арии,1,а,a,25
арии,2,р,r',25
арии,3,и,i,25
арии,4,и,i,25
арий,1,а,a,8
арий,2,р,r',8
арий,3,и,i,8
арий,4,й,j,8
арию,1,а,a,17
арию,2,р,r',17
арию,3,и,i,17
арию,4,ю,ju,17
арки,1,а,a,7
арки,2,р,r,7
арки,3,к,k',7
арки,4,и,i,7
артистов,1,а,a,8
артистов,2,р,r,8
артистов,3,т,t',8
артистов,4,и,i,8
артистов,5,с,s,8
артистов,6,т,t,8
артистов,7,о,a,8
артистов,8,в,f,8
артисты,1,а,a,3
артисты,2,р,r,3
артисты,3,т,t',3
артисты,4,и,i,3
артисты,5,с,s,3
артисты,6,т,t,3
артисты,7,ы,y,3
архитектор,1,а,a,11
архитектор,2,р,r,11
архитектор,3,х,h',11
архитектор,4,и,i,11
архитектор,5,т,t',11
архитектор,6,е,e,11
архитектор,7,к,k,11
архитектор,8,т,t,11
архитектор,9,о,a,11
архитектор,10,р,r,11
архитекторы,1,а,a,6
архитекторы,2,р,r,6
архитекторы,3,х,h',6
архитекторы,4,и,i,6
архитекторы,5,т,t',6
архитекторы,6,е,e,6
архитекторы,7,к,k,6
архитекторы,8,т,t,6
архитекторы,9,о,a,6
архитекторы,10,р,r,6
архитекторы,11,ы,y,6
архитектура,1,а,a,16
архитектура,2,р,r,16
архитектура,3,х,h',16
архитектура,4,и,i,16
архитектура,5,т,t',16
архитектура,6,е,i,16
архитектура,7,к,k,16
архитектура,8,т,t,16
архитектура,9,у,u,16
архитектура,10,р,r,16
архитектура,11,а,a,16
архитектурная,1,а,a,3
архитектурная,2,р,r,3
архитектурная,3,х,h',3
архитектурная,4,и,i,3
архитектурная,5,т,t',3
архитектурная,6,е,i,3
архитектурная,7,к,k,3
архитектурная,8,т,t,3
архитектурная,9,у,u,3
архитектурная,10,р,r,3
архитектурная,11,н,n,3
архитектурная,12,а,a,3
архитектурная,13,я,ja,3
архитектурной,1,а,a,11
архитектурной,2,р,r,11
архитектурной,3,х,h',11
архитектурной,4,и,i,11
архитектурной,5,т,t',11
архитектурной,6,е,i,11
архитектурной,7,к,k,11
архитектурной,8,т,t,11
архитектурной,9,у,u,11
архитектурной,10,р,r,11
архитектурной,11,н,n,11
архитектурной,12,о,a,11
архитектурной,13,й,j,11
аспирантуре,1,а,a,3
аспирантуре,2,с,s,3
аспирантуре,3,п,p',3
аспирантуре,4,и,i,3
аспирантуре,5,р,r,3
аспирантуре,6,а,a,3
аспирантуре,7,н,n,3
аспирантуре,8,т,t,3
аспирантуре,9,у,u,3
аспирантуре,10,р,r',3
аспирантуре,11,е,i,3
аспирантуру,1,а,a,8
аспирантуру,2,с,s,8
аспирантуру,3,п,p',8
аспирантуру,4,и,i,8
аспирантуру,5,р,r,8
аспирантуру,6,а,a,8
аспирантуру,7,н,n,8
аспирантуру,8,т,t,8
аспирантуру,9,у,u,8
аспирантуру,10,р,r,8
аспирантуру,11,у,u,8
ассенизаторами,1,а,a,3
ассенизаторами,2,с,s',3
ассенизаторами,3,с,-,3
ассенизаторами,4,е,i,3
ассенизаторами,5,н,n',3
ассенизаторами,6,и,i,3
ассенизаторами,7,з,z,3
ассенизаторами,8,а,a,3
ассенизаторами,9,т,t,3
ассенизаторами,10,о,a,3
ассенизаторами,11,р,r,3
ассенизаторами,12,а,a,3
ассенизаторами,13,м,m',3
ассенизаторами,14,и,i,3
аудиенции,1,а,a,8
аудиенции,2,у,u,8
аудиенции,3,д,d',8
аудиенции,4,и,i,8
аудиенции,5,е,je,8
аудиенции,6,н,n,8
аудиенции,7,ц,c,8
аудиенции,8,и,y,8
аудиенции,9,и,i,8
ах,1,а,a,26
ах,2,х,h,26
ахнула,1,а,a,3
ахнула,2,х,h,3
ахнула,3,н,n,3
ахнула,4,у,u,3
ахнула,5,л,l,3
ахнула,6,а,a,3
баба,1,б,b,6
баба,2,а,a,6
баба,3,б,b,6
баба,4,а,a,6
бабушка,1,б,b,11
бабушка,2,а,a,11
бабушка,3,б,b,11
бабушка,4,у,u,11
бабушка,5,ш,sh,11
бабушка,6,к,k,11
бабушка,7,а,a,11
бабушки,1,б,b,8
бабушки,2,а,a,8
бабушки,3,б,b,8
бабушки,4,у,u,8
бабушки,5,ш,sh,8
бабушки,6,к,k',8
бабушки,7,и,i,8
базаром,1,б,b,3
базаром,2,а,a,3
базаром,3,з,z,3
базаром,4,а,a,3
базаром,5,р,r,3
базаром,6,о,a,3
базаром,7,м,m,3
базе,1,б,b,3
базе,2,а,a,3
базе,3,з,z',3
базе,4,е,i,3
балаганами,1,б,b,3
балаганами,2,а,a,3
балаганами,3,л,l,3
балаганами,4,а,a,3
балаганами,5,г,g,3
балаганами,6,а,a,3
балаганами,7,н,n,3
балаганами,8,а,a,3
балаганами,9,м,m',3
балаганами,10,и,i,3
балбеса,1,б,b,8
балбеса,2,а,a,8
балбеса,3,л,l,8
балбеса,4,б,b',8
балбеса,5,е,e,8
балбеса,6,с,s,8
балбеса,7,а,a,8
балкон,1,б,b,9
балкон,2,а,a,9
балкон,3,л,l,9
балкон,4,к,k,9
балкон,5,о,o,9
балкон,6,н,n,9
балкона,1,б,b,8
балкона,2,а,a,8
балкона,3,л,l,8
балкона,4,к,k,8
балкона,5,о,o,8
балкона,6,н,n,8
балкона,7,а,a,8
балконе,1,б,b,29
балконе,2,а,a,29
балконе,3,л,l,29
балконе,4,к,k,29
балконе,5,о,o,29
балконе,6,н,n',29
балконе,7,е,i,29
балконной,1,б,b,3
балконной,2,а,a,3
балконной,3,л,l,3
балконной,4,к,k,3
балконной,5,о,o,3
балконной,6,н,n,3
балконной,7,н,n,3
балконной,8,о,a,3
балконной,9,й,j,3
балконную,1,б,b,3
балконную,2,а,a,3
балконную,3,л,l,3
балконную,4,к,k,3
балконную,5,о,o,3
балконную,6,н,n,3
балконную,7,н,n,3
балконную,8,у,u,3
балконную,9,ю,ju,3
бамбук,1,б,b,3
бамбук,2,а,a,3
бамбук,3,м,m,3
бамбук,4,б,b,3
бамбук,5,у,u,3
бамбук,6,к,k,3
банок,1,б,b,1
банок,2,а,a,1
банок,3,н,n,1
банок,4,о,a,1
банок,5,к,k,1
баснословные,1,б,b,3
баснословные,2,а,a,3
баснословные,3,с,s,3
баснословные,4,н,n,3
баснословные,5,о,a,3
баснословные,6,с,s,3
баснословные,7,л,l,3
баснословные,8,о,o,3
баснословные,9,в,v,3
баснословные,10,н,n,3
баснословные,11,ы,y,3
баснословные,12,е,ji,3
батум,1,б,b,3
батум,2,а,a,3
батум,3,т,t,3
батум,4,у,u,3
батум,5,м,m,3
башни,1,б,b,3
башни,2,а,a,3
башни,3,ш,sh,3
башни,4,н,n',3
башни,5,и,i,3
бдению,1,б,b,3
бдению,2,д,d',3
бдению,3,е,e,3
бдению,4,н,n',3
бдению,5,и,i,3
бдению,6,ю,ju,3
бегал,1,б,b',11
бегал,2,е,e,11
бегал,3,г,g,11
бегал,4,а,a,11
бегал,5,л,l,11
бегите,1,б,b',8
бегите,2,е,i,8
бегите,3,г,g',8
бегите,4,и,i,8
бегите,5,т,t',8
бегите,6,е,i,8
бегло,1,б,b',1
бегло,2,е,e,1
бегло,3,г,g,1
бегло,4,л,l,1
бегло,5,о,a,1
бедность,1,б,b',3
бедность,2,е,e,3
бедность,3,д,d,3
бедность,4,н,n,3
бедность,5,о,a,3
бедность,6,с,s',3
бедность,7,т,t',3
бедность,8,ь,-,3
бедняга,1,б,b',14
бедняга,2,е,i,14
бедняга,3,д,d',14
бедняга,4,н,n',14
бедняга,5,я,a,14
бедняга,6,г,g,14
бедняга,7,а,a,14
беднягам,1,б,b',3
беднягам,2,е,i,3
беднягам,3,д,d',3
беднягам,4,н,n',3
беднягам,5,я,a,3
беднягам,6,г,g,3
беднягам,7,а,a,3
беднягам,8,м,m,3
бежал,1,б,b',12
бежал,2,е,i,12
бежал,3,ж,zh,12
бежал,4,а,a,12
бежал,5,л,l,12
бежали,1,б,b',3
бежали,2,е,i,3
бежали,3,ж,zh,3
бежали,4,а,a,3
бежали,5,л,l',3
бежали,6,и,i,3
бежит,1,б,b',8
бежит,2,е,i,8
бежит,3,ж,zh,8
бежит,4,и,y,8
бежит,5,т,t,8
без,1,б,b',5
без,2,е,i,5
без,3,з,s,5
безвыходное,1,б,b',6
безвыходное,2,е,i,6
безвыходное,3,з,z,6
безвыходное,4,в,v,6
безвыходное,5,ы,y,6
безвыходное,6,х,h,6
безвыходное,7,о,a,6
безвыходное,8,д,d,6
безвыходное,9,н,n,6
безвыходное,10,о,a,6
безвыходное,11,е,ji,6
безвыходном,1,б,b',8
безвыходном,2,е,i,8
безвыходном,3,з,z,8
безвыходном,4,в,v,8
безвыходном,5,ы,y,8
безвыходном,6,х,h,8
безвыходном,7,о,a,8
безвыходном,8,д,d,8
безвыходном,9,н,n,8
безвыходном,10,о,a,8
безвыходном,11,м,m,8
безвыходных,1,б,b',12
безвыходных,2,е,i,12
безвыходных,3,з,z,12
безвыходных,4,в,v,12
безвыходных,5,ы,y,12
безвыходных,6,х,h,12
безвыходных,7,о,a,12
безвыходных,8,д,d,12
безвыходных,9,н,n,12
безвыходных,10,ы,y,12
безвыходных,11,х,h,12
бездоказательно,1,б,b',3
бездоказательно,2,е,i,3
бездоказательно,3,з,z,3
бездоказательно,4,д,d,3
бездоказательно,5,о,a,3
бездоказательно,6,к,k,3
бездоказательно,7,а,a,3
бездоказательно,8,з,z,3
бездоказательно,9,а,a,3
бездоказательно,10,т,t',3
бездоказательно,11,е,i,3
бездоказательно,12,л,l',3
бездоказательно,13,ь,-,3
бездоказательно,14,н,n,3
бездоказательно,15,о,a,3
бездонку,1,б,b',7
бездонку,2,е,i,7
бездонку,3,з,z,7
бездонку,4,д,d,7
бездонку,5,о,o,7
бездонку,6,н,n,7
бездонку,7,к,k,7
бездонку,8,у,u,7
безнадежен,1,б,b',3
безнадежен,2,е,i,3
безнадежен,3,з,z,3
безнадежен,4,н,n,3
безнадежен,5,а,a,3
безнадежен,6,д,d',3
безнадежен,7,е,o,3
безнадежен,8,ж,zh,3
безнадежен,9,е,y,3
безнадежен,10,н,n,3
безнадежно,1,б,b',19
безнадежно,2,е,i,19
безнадежно,3,з,z,19
безнадежно,4,н,n,19
безнадежно,5,а,a,19
безнадежно,6,д,d',19
безнадежно,7,е,o,19
безнадежно,8,ж,zh,19
безнадежно,9,н,n,19
безнадежно,10,о,a,19
безнравственнее,1,б,b',1
безнравственнее,2,е,i,1
безнравственнее,3,з,z,1
безнравственнее,4,н,n,1
безнравственнее,5,р,r,1
безнравственнее,6,а,a,1
безнравственнее,7,в,f,1
безнравственнее,8,с,s,1
безнравственнее,9,т,t,1
безнравственнее,10,в,v',1
безнравственнее,11,е,i,1
безнравственнее,12,н,n',1
безнравственнее,13,н,-,1
безнравственнее,14,е,i,1
безнравственнее,15,е,ji,1
безотносительно,1,б,b',3
безотносительно,2,е,i,3
безотносительно,3,з,z,3
безотносительно,4,о,a,3
безотносительно,5,т,t,3
безотносительно,6,н,n,3
безотносительно,7,о,a,3
безотносительно,8,с,s',3
безотносительно,9,и,i,3
безотносительно,10,т,t',3
безотносительно,11,е,i,3
безотносительно,12,л,l',3
безотносительно,13,ь,-,3
безотносительно,14,н,n,3
безотносительно,15,о,a,3
безотчетных,1,б,b',3
безотчетных,2,е,i,3
безотчетных,3,з,z,3
безотчетных,4,о,a,3
безотчетных,5,т,-,3
безотчетных,6,ч,ch,3
безотчетных,7,е,o,3
безотчетных,8,т,t,3
безотчетных,9,н,n,3
безотчетных,10,ы,y,3
безотчетных,11,х,h,3
безумием,1,б,b',3
безумием,2,е,i,3
безумием,3,з,z,3
безумием,4,у,u,3
безумием,5,м,m',3
безумием,6,и,i,3
безумием,7,е,ji,3
безумием,8,м,m,3
безумное,1,б,b',3
безумное,2,е,i,3
безумное,3,з,z,3
безумное,4,у,u,3
безумное,5,м,m,3
безумное,6,н,n,3
безумное,7,о,a,3
безумное,8,е,ji,3
безусловно,1,б,b',10
безусловно,2,е,i,10
безусловно,3,з,z,10
безусловно,4,у,u,10
безусловно,5,с,s,10
безусловно,6,л,l,10
безусловно,7,о,o,10
безусловно,8,в,v,10
безусловно,9,н,n,10
безусловно,10,о,a,10
безучастно,1,б,b',3
безучастно,2,е,i,3
безучастно,3,з,z,3
безучастно,4,у,u,3
безучастно,5,ч,ch,3
безучастно,6,а,a,3
безучастно,7,с,s,3
безучастно,8,т,-,3
безучастно,9,н,n,3
безучастно,10,о,a,3
безучастность,1,б,b',7
безучастность,2,е,i,7
безучастность,3,з,z,7
безучастность,4,у,u,7
безучастность,5,ч,ch,7
безучастность,6,а,a,7
безучастность,7,с,s,7
безучастность,8,т,-,7
безучастность,9,н,n,7
безучастность,10,о,a,7
безучастность,11,с,s',7
безучастность,12,т,t',7
безучастность,13,ь,-,7
белая,1,б,b',14
белая,2,е,e,14
белая,3,л,l,14
белая,4,а,a,14
белая,5,я,i,14
белеет,1,б,b',8
белеет,2,е,i,8
белеет,3,л,l',8
белеет,4,е,e,8
белеет,5,е,i,8
белеет,6,т,t,8
белела,1,б,b',3
белела,2,е,i,3
белела,3,л,l',3
белела,4,е,e,3
белела,5,л,l,3
белела,6,а,a,3
белизной,1,б,b',3
белизной,2,е,i,3
белизной,3,л,l',3
белизной,4,и,i,3
белизной,5,з,z,3
белизной,6,н,n,3
белизной,7,о,o,3
белизной,8,й,j,3
белокирпичного,1,б,b',2
белокирпичного,2,е,i,2
белокирпичного,3,л,l,2
белокирпичного,4,о,a,2
белокирпичного,5,к,k',2
белокирпичного,6,и,i,2
белокирпичного,7,р,r,2
белокирпичного,8,п,p',2
белокирпичного,9,и,i,2
белокирпичного,10,ч,ch,2
белокирпичного,11,н,n,2
белокирпичного,12,о,a,2
белокирпичного,13,г,v,2
белокирпичного,14,о,a,2
белого,1,б,b',8
белого,2,е,e,8
белого,3,л,l,8
белого,4,о,a,8
белого,5,г,v,8
белого,6,о,a,8
белокровия,1,б,b',3
белокровия,2,е,i,3
белокровия,3,л,l,3
белокровия,4,о,a,3
белокровия,5,к,k,3
белокровия,6,р,r,3
белокровия,7,о,o,3
белокровия,8,в,v',3
белокровия,9,и,i,3
белокровия,10,я,ja,3
белые,1,б,b',13
белые,2,е,e,13
белые,3,л,l,13
белые,4,ы,y,13
белые,5,е,i,13
белыми,1,б,b',18
белыми,2,е,e,18
белыми,3,л,l,18
белыми,4,ы,y,18
белыми,5,м,m',18
белыми,6,и,i,18
белых,1,б,b',11
белых,2,е,e,11
белых,3,л,l,11
белых,4,ы,y,11
белых,5,х,h,11
бельгии,1,б,b',3
бельгии,2,е,e,3
бельгии,3,л,l',3
бельгии,4,ь,-,3
бельгии,5,г,g',3
бельгии,6,и,i,3
бельгии,7,и,i,3
берег,1,б,b',9
берег,2,е,e,9
берег,3,р,r',9
берег,4,е,i,9
берег,5,г,k,9
берега,1,б,b',3
берега,2,е,e,3
берега,3,р,r',3
берега,4,е,i,3
берега,5,г,g,3
берега,6,а,a,3
берегами,1,б,b',3
берегами,2,е,i,3
берегами,3,р,r',3
