,word,transcript,freq,corr
10,"['а', 'в', 'т', 'о', 'м', 'а', 'т', 'и', 'ч', 'е', 'с', 'к', 'и']","['a', 'f', 't', 'a', 'm', 'a', ""t'"", 'i', 'ch', 'i', 's', ""k'"", 'i']",3,"[('а', 'a'), ('в', 'f'), ('т', 't'), ('о', 'a'), ('м', 'm'), ('а', 'a'), ('т', ""t'""), ('и', 'i'), ('ч', 'ch'), ('е', 'i'), ('с', 's'), ('к', ""k'""), ('и', 'i')]"
11,"['а', 'в', 'т', 'о', 'м', 'а', 'т', 'н', 'а', 'я']","['a', 'f', 't', 'a', 'm', 'a', 't', 'n', 'a', 'j', 'a']",3,"[('а', 'a'), ('в', 'f'), ('т', 't'), ('о', 'a'), ('м', 'm'), ('а', 'a'), ('т', 't'), ('н', 'n'), ('а', 'a'), ('я', 'ja')]"
12,"['а', 'в', 'т', 'о', 'м', 'а', 'т', 'о', 'в']","['a', 'f', 't', 'a', 'm', 'a', 't', 'a', 'f']",3,"[('а', 'a'), ('в', 'f'), ('т', 't'), ('о', 'a'), ('м', 'm'), ('а', 'a'), ('т', 't'), ('о', 'a'), ('в', 'f')]"
13,"['а', 'в', 'т', 'о', 'м', 'о', 'б', 'и', 'л', 'е']","['a', 'f', 't', 'a', 'm', 'a', ""b'"", 'i', ""l'"", 'i']",11,"[('а', 'a'), ('в', 'f'), ('т', 't'), ('о', 'a'), ('м', 'm'), ('о', 'a'), ('б', ""b'""), ('и', 'i'), ('л', ""l'""), ('е', 'i')]"
14,"['а', 'в', 'т', 'о', 'м', 'о', 'б', 'и', 'л', 'и']","['a', 'f', 't', 'a', 'm', 'a', ""b'"", 'i', ""l'"", 'i']",8,"[('а', 'a'), ('в', 'f'), ('т', 't'), ('о', 'a'), ('м', 'm'), ('о', 'a'), ('б', ""b'""), ('и', 'i'), ('л', ""l'""), ('и', 'i')]"
15,"['а', 'в', 'т', 'о', 'м', 'о', 'б', 'и', 'л', 'ь', 'н', 'о', 'й']","['a', 'f', 't', 'a', 'm', 'a', ""b'"", 'i', ""l'"", 'n', 'a', 'j']",3,"[('а', 'a'), ('в', 'f'), ('т', 't'), ('о', 'a'), ('м', 'm'), ('о', 'a'), ('б', ""b'""), ('и', 'i'), ('л', ""l'""), ('ь', '-'), ('н', 'n'), ('о', 'a'), ('й', 'j')]"
16,"['а', 'г', 'а', 'т', 'ы']","['a', 'g', 'a', 't', 'y']",3,"[('а', 'a'), ('г', 'g'), ('а', 'a'), ('т', 't'), ('ы', 'y')]"
17,"['а', 'д', 'а', 'м', 'а']","['a', 'd', 'a', 'm', 'a']",3,"[('а', 'a'), ('д', 'd'), ('а', 'a'), ('м', 'm'), ('а', 'a')]"
18,"['а', 'д', 'в', 'о', 'к', 'а', 'т', 'ы']","['a', 'd', 'v', 'a', 'k', 'a', 't', 'y']",3,"[('а', 'a'), ('д', 'd'), ('в', 'v'), ('о', 'a'), ('к', 'k'), ('а', 'a'), ('т', 't'), ('ы', 'y')]"
19,"['а', 'д', 'м', 'и', 'н', 'и', 'с', 'т', 'р', 'а', 'т', 'и', 'в', 'н', 'о', 'й']","['a', 'd', ""m'"", 'i', ""n'"", 'i', 's', 't', 'r', 'a', ""t'"", 'i', 'v', 'n', 'a', 'j']",3,"[('а', 'a'), ('д', 'd'), ('м', ""m'""), ('и', 'i'), ('н', ""n'""), ('и', 'i'), ('с', 's'), ('т', 't'), ('р', 'r'), ('а', 'a'), ('т', ""t'""), ('и', 'i'), ('в', 'v'), ('н', 'n'), ('о', 'a'), ('й', 'j')]"
20,"['а', 'д', 'р', 'е', 'с', 'а']","['a', 'd', ""r'"", 'i', 's', 'a']",10,"[('а', 'a'), ('д', 'd'), ('р', ""r'""), ('е', 'i'), ('с', 's'), ('а', 'a')]"
21,"['а', 'д', 'р', 'е', 'с', 'о', 'в', 'а', 'н', 'н', 'о', 'м']","['a', 'd', ""r'"", 'i', 's', 'o', 'v', 'a', 'n', 'a', 'm']",3,"[('а', 'a'), ('д', 'd'), ('р', ""r'""), ('е', 'i'), ('с', 's'), ('о', 'o'), ('в', 'v'), ('а', 'a'), ('н', 'n'), ('н', '-'), ('о', 'a'), ('м', 'm')]"
22,"['а', 'д', 'р', 'е', 'с', 'у']","['a', 'd', ""r'"", 'i', 's', 'u']",5,"[('а', 'a'), ('д', 'd'), ('р', ""r'""), ('е', 'i'), ('с', 's'), ('у', 'u')]"
23,"['а', 'к', 'а', 'д', 'е', 'м', 'и', 'ч', 'е', 'с', 'к', 'о', 'й']","['a', 'k', 'a', ""d'"", 'i', ""m'"", 'i', 'ch', 'i', 's', 'k', 'a', 'j']",8,"[('а', 'a'), ('к', 'k'), ('а', 'a'), ('д', ""d'""), ('е', 'i'), ('м', ""m'""), ('и', 'i'), ('ч', 'ch'), ('е', 'i'), ('с', 's'), ('к', 'k'), ('о', 'a'), ('й', 'j')]"
24,"['а', 'к', 'к', 'у', 'р', 'а', 'т', 'н', 'а', 'я']","['a', 'k', 'u', 'r', 'a', 't', 'n', 'a', 'j', 'a']",8,"[('а', 'a'), ('к', 'k'), ('к', '-'), ('у', 'u'), ('р', 'r'), ('а', 'a'), ('т', 't'), ('н', 'n'), ('а', 'a'), ('я', 'ja')]"
25,"['а', 'к', 'к', 'у', 'р', 'а', 'т', 'н', 'о']","['a', 'k', 'u', 'r', 'a', 't', 'n', 'a']",14,"[('а', 'a'), ('к', 'k'), ('к', '-'), ('у', 'u'), ('р', 'r'), ('а', 'a'), ('т', 't'), ('н', 'n'), ('о', 'a')]"
26,"['а', 'к', 'к', 'у', 'р', 'а', 'т', 'н', 'ы', 'й']","['a', 'k', 'u', 'r', 'a', 't', 'n', 'y', 'j']",3,"[('а', 'a'), ('к', 'k'), ('к', '-'), ('у', 'u'), ('р', 'r'), ('а', 'a'), ('т', 't'), ('н', 'n'), ('ы', 'y'), ('й', 'j')]"
27,"['а', 'к', 'с', 'и', 'о', 'м', 'у']","['a', 'k', ""s'"", 'i', 'o', 'm', 'u']",3,"[('а', 'a'), ('к', 'k'), ('с', ""s'""), ('и', 'i'), ('о', 'o'), ('м', 'm'), ('у', 'u')]"
28,"['а', 'л', 'е', 'б', 'а', 'с', 'т', 'р', 'о', 'м']","['a', ""l'"", 'i', 'b', 'a', 's', 't', 'r', 'a', 'm']",8,"[('а', 'a'), ('л', ""l'""), ('е', 'i'), ('б', 'b'), ('а', 'a'), ('с', 's'), ('т', 't'), ('р', 'r'), ('о', 'a'), ('м', 'm')]"
29,"['а', 'л', 'е', 'к', 'с', 'е', 'е', 'в', 'и', 'ч']","['a', ""l'"", 'i', 'k', ""s'"", 'e', 'j', 'i', ""v'"", 'i', 'ch']",26,"[('а', 'a'), ('л', ""l'""), ('е', 'i'), ('к', 'k'), ('с', ""s'""), ('е', 'e'), ('е', 'ji'), ('в', ""v'""), ('и', 'i'), ('ч', 'ch')]"
30,"['а', 'л', 'е', 'к', 'с', 'е', 'е', 'в', 'и', 'ч', 'а']","['a', ""l'"", 'i', 'k', ""s'"", 'e', 'j', 'i', ""v'"", 'i', 'ch', 'a']",15,"[('а', 'a'), ('л', ""l'""), ('е', 'i'), ('к', 'k'), ('с', ""s'""), ('е', 'e'), ('е', 'ji'), ('в', ""v'""), ('и', 'i'), ('ч', 'ch'), ('а', 'a')]"
31,"['а', 'л', 'е', 'к', 'с', 'е', 'е', 'в', 'и', 'ч', 'е', 'м']","['a', ""l'"", 'i', 'k', ""s'"", 'e', 'j', 'i', ""v'"", 'i', 'ch', 'i', 'm']",3,"[('а', 'a'), ('л', ""l'""), ('е', 'i'), ('к', 'k'), ('с', ""s'""), ('е', 'e'), ('е', 'ji'), ('в', ""v'""), ('и', 'i'), ('ч', 'ch'), ('е', 'i'), ('м', 'm')]"
32,"['а', 'л', 'е', 'к', 'с', 'е', 'е', 'в', 'н', 'а']","['a', ""l'"", 'i', 'k', ""s'"", 'e', 'j', 'i', 'v', 'n', 'a']",8,"[('а', 'a'), ('л', ""l'""), ('е', 'i'), ('к', 'k'), ('с', ""s'""), ('е', 'e'), ('е', 'ji'), ('в', 'v'), ('н', 'n'), ('а', 'a')]"
33,"['а', 'л', 'е', 'к', 'с', 'е', 'е', 'в', 'н', 'о', 'й']","['a', ""l'"", 'i', 'k', ""s'"", 'e', 'j', 'i', 'v', 'n', 'a', 'j']",2,"[('а', 'a'), ('л', ""l'""), ('е', 'i'), ('к', 'k'), ('с', ""s'""), ('е', 'e'), ('е', 'ji'), ('в', 'v'), ('н', 'n'), ('о', 'a'), ('й', 'j')]"
34,"['а', 'л', 'е', 'к', 'с', 'е', 'е', 'в', 'н', 'ы']","['a', ""l'"", 'i', 'k', ""s'"", 'e', 'i', 'v', 'n', 'y']",16,"[('а', 'a'), ('л', ""l'""), ('е', 'i'), ('к', 'k'), ('с', ""s'""), ('е', 'e'), ('е', 'i'), ('в', 'v'), ('н', 'n'), ('ы', 'y')]"
35,"['а', 'л', 'е', 'к', 'с', 'е', 'й']","['a', ""l'"", 'i', 'k', ""s'"", 'e', 'j']",13,"[('а', 'a'), ('л', ""l'""), ('е', 'i'), ('к', 'k'), ('с', ""s'""), ('е', 'e'), ('й', 'j')]"
36,"['а', 'л', 'е', 'к', 'с', 'е', 'я']","['a', ""l'"", 'i', 'k', ""s'"", 'e', 'j', 'a']",8,"[('а', 'a'), ('л', ""l'""), ('е', 'i'), ('к', 'k'), ('с', ""s'""), ('е', 'e'), ('я', 'ja')]"
37,"['а', 'л', 'е', 'к', 'с', 'и', 'н']","['a', ""l'"", 'e', 'k', ""s'"", 'i', 'n']",8,"[('а', 'a'), ('л', ""l'""), ('е', 'e'), ('к', 'k'), ('с', ""s'""), ('и', 'i'), ('н', 'n')]"
38,"['а', 'л', 'и', 'к']","['a', ""l'"", 'i', 'k']",65,"[('а', 'a'), ('л', ""l'""), ('и', 'i'), ('к', 'k')]"
39,"['а', 'м', 'б', 'и', 'ц', 'и', 'я']","['a', 'm', ""b'"", 'i', 'c', 'y', 'j', 'a']",8,"[('а', 'a'), ('м', 'm'), ('б', ""b'""), ('и', 'i'), ('ц', 'c'), ('и', 'y'), ('я', 'ja')]"
40,"['а', 'н']","['a', 'n']",1,"[('а', 'a'), ('н', 'n')]"
41,"['а', 'н', 'а', 'л', 'о', 'г', 'и', 'ч', 'н', 'о', 'г', 'о']","['a', 'n', 'a', 'l', 'a', ""g'"", 'i', 'ch', 'n', 'a', 'v', 'a']",3,"[('а', 'a'), ('н', 'n'), ('а', 'a'), ('л', 'l'), ('о', 'a'), ('г', ""g'""), ('и', 'i'), ('ч', 'ch'), ('н', 'n'), ('о', 'a'), ('г', 'v'), ('о', 'a')]"
42,"['а', 'н', 'а', 'т', 'о', 'л', 'и', 'й']","['a', 'n', 'a', 't', 'o', ""l'"", 'i', 'j']",8,"[('а', 'a'), ('н', 'n'), ('а', 'a'), ('т', 't'), ('о', 'o'), ('л', ""l'""), ('и', 'i'), ('й', 'j')]"
43,"['а', 'н', 'г', 'л', 'и', 'й', 'с', 'к', 'и', 'й']","['a', 'n', 'g', ""l'"", 'i', 'j', 's', ""k'"", 'i', 'j']",8,"[('а', 'a'), ('н', 'n'), ('г', 'g'), ('л', ""l'""), ('и', 'i'), ('й', 'j'), ('с', 's'), ('к', ""k'""), ('и', 'i'), ('й', 'j')]"
44,"['а', 'н', 'г', 'л', 'и', 'й', 'с', 'к', 'и', 'м']","['a', 'n', 'g', ""l'"", 'i', 'j', 's', ""k'"", 'i', 'm']",8,"[('а', 'a'), ('н', 'n'), ('г', 'g'), ('л', ""l'""), ('и', 'i'), ('й', 'j'), ('с', 's'), ('к', ""k'""), ('и', 'i'), ('м', 'm')]"
45,"['а', 'н', 'г', 'л', 'и', 'й', 'с', 'к', 'и', 'х']","['a', 'n', 'g', ""l'"", 'i', 'j', 's', ""k'"", 'i', 'h']",8,"[('а', 'a'), ('н', 'n'), ('г', 'g'), ('л', ""l'""), ('и', 'i'), ('й', 'j'), ('с', 's'), ('к', ""k'""), ('и', 'i'), ('х', 'h')]"
46,"['а', 'н', 'г', 'л', 'и', 'й', 'с', 'к', 'о', 'г', 'о']","['a', 'n', 'g', ""l'"", 'i', 'j', 's', 'k', 'a', 'v', 'a']",3,"[('а', 'a'), ('н', 'n'), ('г', 'g'), ('л', ""l'""), ('и', 'i'), ('й', 'j'), ('с', 's'), ('к', 'k'), ('о', 'a'), ('г', 'v'), ('о', 'a')]"
47,"['а', 'н', 'д', 'р', 'е', 'е', 'в', 'н', 'а']","['a', 'n', 'd', ""r'"", 'e', 'i', 'v', 'n', 'a']",3,"[('а', 'a'), ('н', 'n'), ('д', 'd'), ('р', ""r'""), ('е', 'e'), ('е', 'i'), ('в', 'v'), ('н', 'n'), ('а', 'a')]"
48,"['а', 'н', 'д', 'р', 'ю', 'ш', 'е']","['a', 'n', 'd', ""r'"", 'u', 'sh', 'y']",3,"[('а', 'a'), ('н', 'n'), ('д', 'd'), ('р', ""r'""), ('ю', 'u'), ('ш', 'sh'), ('е', 'y')]"
49,"['а', 'н', 'т', 'о', 'н', 'и', 'н', 'ы']","['a', 'n', 't', 'a', ""n'"", 'i', 'n', 'y']",8,"[('а', 'a'), ('н', 'n'), ('т', 't'), ('о', 'a'), ('н', ""n'""), ('и', 'i'), ('н', 'n'), ('ы', 'y')]"
50,"['а', 'п', 'о', 'п', 'л', 'е', 'к', 'с', 'и', 'ч', 'е', 'с', 'к', 'и', 'м']","['a', 'p', 'a', 'p', ""l'"", 'i', 'k', ""s'"", 'i', 'ch', 'i', 's', ""k'"", 'i', 'm']",3,"[('а', 'a'), ('п', 'p'), ('о', 'a'), ('п', 'p'), ('л', ""l'""), ('е', 'i'), ('к', 'k'), ('с', ""s'""), ('и', 'i'), ('ч', 'ch'), ('е', 'i'), ('с', 's'), ('к', ""k'""), ('и', 'i'), ('м', 'm')]"
51,"['а', 'п', 'п', 'а', 'р', 'а', 'т']","['a', 'p', 'a', 'r', 'a', 't']",6,"[('а', 'a'), ('п', 'p'), ('п', '-'), ('а', 'a'), ('р', 'r'), ('а', 'a'), ('т', 't')]"
52,"['а', 'р', 'б', 'и', 'т', 'р', 'а']","['a', 'r', ""b'"", 'i', 't', 'r', 'a']",3,"[('а', 'a'), ('р', 'r'), ('б', ""b'""), ('и', 'i'), ('т', 't'), ('р', 'r'), ('а', 'a')]"
53,"['а', 'р', 'г', 'е', 'н', 'т', 'и', 'н', 'с', 'к', 'о', 'й']","['a', 'r', ""g'"", 'i', ""n'"", ""t'"", 'i', 'n', 's', 'k', 'a', 'j']",3,"[('а', 'a'), ('р', 'r'), ('г', ""g'""), ('е', 'i'), ('н', ""n'""), ('т', ""t'""), ('и', 'i'), ('н', 'n'), ('с', 's'), ('к', 'k'), ('о', 'a'), ('й', 'j')]"
54,"['а', 'р', 'и', 'и']","['a', ""r'"", 'i', 'i']",25,"[('а', 'a'), ('р', ""r'""), ('и', 'i'), ('и', 'i')]"
55,"['а', 'р', 'и', 'й']","['a', ""r'"", 'i', 'j']",8,"[('а', 'a'), ('р', ""r'""), ('и', 'i'), ('й', 'j')]"
56,"['а', 'р', 'и', 'ю']","['a', ""r'"", 'i', 'j', 'u']",17,"[('а', 'a'), ('р', ""r'""), ('и', 'i'), ('ю', 'ju')]"
57,"['а', 'р', 'к', 'и']","['a', 'r', ""k'"", 'i']",7,"[('а', 'a'), ('р', 'r'), ('к', ""k'""), ('и', 'i')]"
58,"['а', 'р', 'т', 'и', 'с', 'т', 'о', 'в']","['a', 'r', ""t'"", 'i', 's', 't', 'a', 'f']",8,"[('а', 'a'), ('р', 'r'), ('т', ""t'""), ('и', 'i'), ('с', 's'), ('т', 't'), ('о', 'a'), ('в', 'f')]"
59,"['а', 'р', 'т', 'и', 'с', 'т', 'ы']","['a', 'r', ""t'"", 'i', 's', 't', 'y']",3,"[('а', 'a'), ('р', 'r'), ('т', ""t'""), ('и', 'i'), ('с', 's'), ('т', 't'), ('ы', 'y')]"
60,"['а', 'р', 'х', 'и', 'т', 'е', 'к', 'т', 'о', 'р']","['a', 'r', ""h'"", 'i', ""t'"", 'e', 'k', 't', 'a', 'r']",11,"[('а', 'a'), ('р', 'r'), ('х', ""h'""), ('и', 'i'), ('т', ""t'""), ('е', 'e'), ('к', 'k'), ('т', 't'), ('о', 'a'), ('р', 'r')]"
61,"['а', 'р', 'х', 'и', 'т', 'е', 'к', 'т', 'о', 'р', 'ы']","['a', 'r', ""h'"", 'i', ""t'"", 'e', 'k', 't', 'a', 'r', 'y']",6,"[('а', 'a'), ('р', 'r'), ('х', ""h'""), ('и', 'i'), ('т', ""t'""), ('е', 'e'), ('к', 'k'), ('т', 't'), ('о', 'a'), ('р', 'r'), ('ы', 'y')]"
62,"['а', 'р', 'х', 'и', 'т', 'е', 'к', 'т', 'у', 'р', 'а']","['a', 'r', ""h'"", 'i', ""t'"", 'i', 'k', 't', 'u', 'r', 'a']",16,"[('а', 'a'), ('р', 'r'), ('х', ""h'""), ('и', 'i'), ('т', ""t'""), ('е', 'i'), ('к', 'k'), ('т', 't'), ('у', 'u'), ('р', 'r'), ('а', 'a')]"
63,"['а', 'р', 'х', 'и', 'т', 'е', 'к', 'т', 'у', 'р', 'н', 'а', 'я']","['a', 'r', ""h'"", 'i', ""t'"", 'i', 'k', 't', 'u', 'r', 'n', 'a', 'j', 'a']",3,"[('а', 'a'), ('р', 'r'), ('х', ""h'""), ('и', 'i'), ('т', ""t'""), ('е', 'i'), ('к', 'k'), ('т', 't'), ('у', 'u'), ('р', 'r'), ('н', 'n'), ('а', 'a'), ('я', 'ja')]"
64,"['а', 'р', 'х', 'и', 'т', 'е', 'к', 'т', 'у', 'р', 'н', 'о', 'й']","['a', 'r', ""h'"", 'i', ""t'"", 'i', 'k', 't', 'u', 'r', 'n', 'a', 'j']",11,"[('а', 'a'), ('р', 'r'), ('х', ""h'""), ('и', 'i'), ('т', ""t'""), ('е', 'i'), ('к', 'k'), ('т', 't'), ('у', 'u'), ('р', 'r'), ('н', 'n'), ('о', 'a'), ('й', 'j')]"
65,"['а', 'с', 'п', 'и', 'р', 'а', 'н', 'т', 'у', 'р', 'е']","['a', 's', ""p'"", 'i', 'r', 'a', 'n', 't', 'u', ""r'"", 'i']",3,"[('а', 'a'), ('с', 's'), ('п', ""p'""), ('и', 'i'), ('р', 'r'), ('а', 'a'), ('н', 'n'), ('т', 't'), ('у', 'u'), ('р', ""r'""), ('е', 'i')]"
66,"['а', 'с', 'п', 'и', 'р', 'а', 'н', 'т', 'у', 'р', 'у']","['a', 's', ""p'"", 'i', 'r', 'a', 'n', 't', 'u', 'r', 'u']",8,"[('а', 'a'), ('с', 's'), ('п', ""p'""), ('и', 'i'), ('р', 'r'), ('а', 'a'), ('н', 'n'), ('т', 't'), ('у', 'u'), ('р', 'r'), ('у', 'u')]"
67,"['а', 'с', 'с', 'е', 'н', 'и', 'з', 'а', 'т', 'о', 'р', 'а', 'м', 'и']","['a', ""s'"", 'i', ""n'"", 'i', 'z', 'a', 't', 'a', 'r', 'a', ""m'"", 'i']",3,"[('а', 'a'), ('с', ""s'""), ('с', '-'), ('е', 'i'), ('н', ""n'""), ('и', 'i'), ('з', 'z'), ('а', 'a'), ('т', 't'), ('о', 'a'), ('р', 'r'), ('а', 'a'), ('м', ""m'""), ('и', 'i')]"
68,"['а', 'у', 'д', 'и', 'е', 'н', 'ц', 'и', 'и']","['a', 'u', ""d'"", 'i', 'j', 'e', 'n', 'c', 'y', 'i']",8,"[('а', 'a'), ('у', 'u'), ('д', ""d'""), ('и', 'i'), ('е', 'je'), ('н', 'n'), ('ц', 'c'), ('и', 'y'), ('и', 'i')]"
69,"['а', 'х']","['a', 'h']",26,"[('а', 'a'), ('х', 'h')]"
70,"['а', 'х', 'н', 'у', 'л', 'а']","['a', 'h', 'n', 'u', 'l', 'a']",3,"[('а', 'a'), ('х', 'h'), ('н', 'n'), ('у', 'u'), ('л', 'l'), ('а', 'a')]"
71,"['б', 'а', 'б', 'а']","['b', 'a', 'b', 'a']",6,"[('б', 'b'), ('а', 'a'), ('б', 'b'), ('а', 'a')]"
72,"['б', 'а', 'б', 'у', 'ш', 'к', 'а']","['b', 'a', 'b', 'u', 'sh', 'k', 'a']",11,"[('б', 'b'), ('а', 'a'), ('б', 'b'), ('у', 'u'), ('ш', 'sh'), ('к', 'k'), ('а', 'a')]"
73,"['б', 'а', 'б', 'у', 'ш', 'к', 'и']","['b', 'a', 'b', 'u', 'sh', ""k'"", 'i']",8,"[('б', 'b'), ('а', 'a'), ('б', 'b'), ('у', 'u'), ('ш', 'sh'), ('к', ""k'""), ('и', 'i')]"
74,"['б', 'а', 'з', 'а', 'р', 'о', 'м']","['b', 'a', 'z', 'a', 'r', 'a', 'm']",3,"[('б', 'b'), ('а', 'a'), ('з', 'z'), ('а', 'a'), ('р', 'r'), ('о', 'a'), ('м', 'm')]"
75,"['б', 'а', 'з', 'е']","['b', 'a', ""z'"", 'i']",3,"[('б', 'b'), ('а', 'a'), ('з', ""z'""), ('е', 'i')]"
76,"['б', 'а', 'л', 'а', 'г', 'а', 'н', 'а', 'м', 'и']","['b', 'a', 'l', 'a', 'g', 'a', 'n', 'a', ""m'"", 'i']",3,"[('б', 'b'), ('а', 'a'), ('л', 'l'), ('а', 'a'), ('г', 'g'), ('а', 'a'), ('н', 'n'), ('а', 'a'), ('м', ""m'""), ('и', 'i')]"
77,"['б', 'а', 'л', 'б', 'е', 'с', 'а']","['b', 'a', 'l', ""b'"", 'e', 's', 'a']",8,"[('б', 'b'), ('а', 'a'), ('л', 'l'), ('б', ""b'""), ('е', 'e'), ('с', 's'), ('а', 'a')]"
78,"['б', 'а', 'л', 'к', 'о', 'н']","['b', 'a', 'l', 'k', 'o', 'n']",9,"[('б', 'b'), ('а', 'a'), ('л', 'l'), ('к', 'k'), ('о', 'o'), ('н', 'n')]"
79,"['б', 'а', 'л', 'к', 'о', 'н', 'а']","['b', 'a', 'l', 'k', 'o', 'n', 'a']",8,"[('б', 'b'), ('а', 'a'), ('л', 'l'), ('к', 'k'), ('о', 'o'), ('н', 'n'), ('а', 'a')]"
80,"['б', 'а', 'л', 'к', 'о', 'н', 'е']","['b', 'a', 'l', 'k', 'o', ""n'"", 'i']",29,"[('б', 'b'), ('а', 'a'), ('л', 'l'), ('к', 'k'), ('о', 'o'), ('н', ""n'""), ('е', 'i')]"
81,"['б', 'а', 'л', 'к', 'о', 'н', 'н', 'о', 'й']","['b', 'a', 'l', 'k', 'o', 'n', 'n', 'a', 'j']",3,"[('б', 'b'), ('а', 'a'), ('л', 'l'), ('к', 'k'), ('о', 'o'), ('н', 'n'), ('н', 'n'), ('о', 'a'), ('й', 'j')]"
82,"['б', 'а', 'л', 'к', 'о', 'н', 'н', 'у', 'ю']","['b', 'a', 'l', 'k', 'o', 'n', 'n', 'u', 'j', 'u']",3,"[('б', 'b'), ('а', 'a'), ('л', 'l'), ('к', 'k'), ('о', 'o'), ('н', 'n'), ('н', 'n'), ('у', 'u'), ('ю', 'ju')]"
83,"['б', 'а', 'м', 'б', 'у', 'к']","['b', 'a', 'm', 'b', 'u', 'k']",3,"[('б', 'b'), ('а', 'a'), ('м', 'm'), ('б', 'b'), ('у', 'u'), ('к', 'k')]"
84,"['б', 'а', 'н', 'о', 'к']","['b', 'a', 'n', 'a', 'k']",1,"[('б', 'b'), ('а', 'a'), ('н', 'n'), ('о', 'a'), ('к', 'k')]"
85,"['б', 'а', 'с', 'н', 'о', 'с', 'л', 'о', 'в', 'н', 'ы', 'е']","['b', 'a', 's', 'n', 'a', 's', 'l', 'o', 'v', 'n', 'y', 'j', 'i']",3,"[('б', 'b'), ('а', 'a'), ('с', 's'), ('н', 'n'), ('о', 'a'), ('с', 's'), ('л', 'l'), ('о', 'o'), ('в', 'v'), ('н', 'n'), ('ы', 'y'), ('е', 'ji')]"
86,"['б', 'а', 'т', 'у', 'м']","['b', 'a', 't', 'u', 'm']",3,"[('б', 'b'), ('а', 'a'), ('т', 't'), ('у', 'u'), ('м', 'm')]"
87,"['б', 'а', 'ш', 'н', 'и']","['b', 'a', 'sh', ""n'"", 'i']",3,"[('б', 'b'), ('а', 'a'), ('ш', 'sh'), ('н', ""n'""), ('и', 'i')]"
88,"['б', 'д', 'е', 'н', 'и', 'ю']","['b', ""d'"", 'e', ""n'"", 'i', 'j', 'u']",3,"[('б', 'b'), ('д', ""d'""), ('е', 'e'), ('н', ""n'""), ('и', 'i'), ('ю', 'ju')]"
89,"['б', 'е', 'г', 'а', 'л']","[""b'"", 'e', 'g', 'a', 'l']",11,"[('б', ""b'""), ('е', 'e'), ('г', 'g'), ('а', 'a'), ('л', 'l')]"
