Слово,Слово с делением на морфемы,Орфоэпическая транскрипция,Реальное произнесение,Количество словоупотреблений,Файлы
безвыходных,~без*выход+н/ых,~ b' i1 z * v y0 h a4 d + n / y4 h,~ b' i1 z * v y0 h a4 d + n / y4 h,12,"ctb1179,ctb1553,ctb1644,ktb1179,ktb2112,atb2112"
бездоказательно,~без~до*каз+а+тельн+о,~ b' i1 z ~ d a2 * k a1 z + a0 + t' i4 l' n + a4,~ b' i1 z ~ d e1 * k a1 z + a0 + t' e4 l' n + a4,3,ata0867
бездонку,~без*дон+к/у,~ b' i1 z * d o0 n + k / u4,~ b' e1 z * d o0 n + k / u4,7,"gtb0313,stb0313"
безнадежен,~без*надеж+ен,~ b' i1 z * n a1 d' o0 zh + y4 n,~ b' i1 z * n a1 d' o0 zh + e4 n,3,kta0848
безнадежно,~без*надеж+н+о,~ b' i1 z * n a1 d' o0 zh + n + a4,~ b e1 z * n a1 d' o0 zh + n + y4,19,gta0214
безнравственнее,~без*нрав+ств+енн+ее,~ b' i1 z * n r a0 f + s t v' + i4 n' / i4 j i4,~ b' i1 z * n r a0 f + s t v' + e4 n / e4 e4,1,atb0444
безотносительно,~без~от*нос+и+тельн+о,~ b' i1 z ~ a2 t * n a1 s' + i0 + t' i4 l' n + a4,~ b' i1 z ~ y1 t * n a1 s' + i0 + t' e4 l' n + a4,3,cta0952
безотчетных,~без~от*чет+н/ых,~ b' i1 z ~ a1 * ch o0 t + n / y4 h,~ b' i1 z ~ a1 * ch o0 t + n / e4 h,3,kta1048
безумием,~без*ум+и/ем,~ b' i1 z * u0 m' + i4 / j i4 m,~ b' i1 z * u0 m' + e4 / e4 m,3,kta1049
безумное,~без*ум+н/ое,~ b' i1 z * u0 m + n / a4 j i4,~ b' i1 z * u0 m + n / e4 e4,3,ata0564
безусловно,~без*услов+н+о,~ b' i1 z * u1 s l o0 v + n + a4,~ b' e1 z * y1 s l o0 v + n + a4,10,mta0291
безучастно,~без*участ+н+о,~ b' i1 z * u1 ch a0 s + n + a4,~ b' i1 z * u1 ch a0 s + n + a4,3,"cta1066,ata1066"
безучастность,~без*участ+н+ость,~ b' i1 z * u1 ch a0 s + n + a4 s' t',~ b' i1 z * u1 ch a0 s + n + a4 s' t',7,"kta0117,ata0117"
белая,*бел/ая,* b' e0 l / a4 - i4,* b' e0 l / o4 o4,14,gta0332
белеет,*бел+е/ет,* b' i1 l' + e0 / - i4 t,* b' i1 l' + e0 / i4 t,8,mta0232
белела,*бел+е+л/а,* b' i1 l' + e0 + l / a4,* b' i1 l' + e0 + l / a4,3,"cta0732,kta0732,ata0732"
белизной,*бел+изн/ой,* b' i1 l' + i1 z n / o0 j,* b' i1 l' + i1 s n / o0 j,3,ata0909
бело-кирпичного,*бел^о-*кирпич+н/ого,* b' i1 l ^ a2 * k' i1 r p' i0 ch + n / a4 v a4,* b' e1 l ^ y4 * k' i1 r p' i0 ch + n / e4 v y4,2,ota0213
белого,*бел/ого,* b' e0 l / a4 v a4,* b' e0 l / a4 v a4,8,"otd0147,atd0147"
белокровия,*бел=о*кров+и/я,* b' i1 l = a1 * k r o0 v' + i4 / j a4,* b' i1 l = a1 * k r o0 v' + e4 / e4,3,ata0566
белые,*бел/ые,* b' e0 l / y4 - i4,* b' e0 l / y4 i4,13,gta0184
белыми,*бел/ыми,* b' e0 l / y4 m' i4,* b' e0 l / y4 m' e4,18,gta0433
белых,*бел/ых,* b' e0 l / y4 h,* b' e0 l / y4 h,11,"ctb0043,ctb2085,gtb0043,ktb2085,ktb0043,otb0043,stb0043,utb0043,atb0043,atb2085,mtb0043"
бельгии,*бельги/и,* b' e0 l' g' i4 / i4,* b' e0 l' g' i4 / e4,3,kta1062
берег,*берег,* b' e0 r' i4 k,* b' e0 r' i4 k,9,"cta0779,cta0787,cta0928,kta0779,kta0787,kta0928,ata0779,ata0787,ata0928"
берега,*берег/а,* b' e0 r' i4 g / a4,* b' e0 r' i4 g / a4,3,"cta0788,kta0788,ata0788"
берегами,*берег/ами,* b' i1 r' i1 g / a0 m' i4,* b' i1 r' i1 d / a0 m' i4,3,atb2043
берегом,*берег/ом,* b' e0 r' i4 g / a4 m,* b' e0 r' i4 g / a4 m,3,"cta0841,kta0841"
берегу,*берег/у,* b' e0 r' i4 g / u4,* b' e0 r' e4 g / u4,6,kta1071
берегут,*берег/ут,* b' i1 r' i1 g / u0 t,* b' e1 r' i1 g / u0 t,24,"atb0023,atb0049,atb0071"
бережет,*береж/ет,* b' i1 r' i1 zh / o0 t,* b' e1 r' i1 zh / o0 t,8,atb0072
бережно,*береж+н+о,* b' e0 r' i4 zh + n + a4,* b' e0 r' i4 zh + n + a4,6,"ctc0040,ktc0040,atb1972"
берез,*берез,* b' i1 r' o0 s,* b' i1 r' o0 s,3,"cta0836,kta0836"
березками,*берез+к/ами,* b' i1 r' o0 s + k / a4 m' i4,* b' i1 r' o0 s + k / y4 m' e4,3,kta0741
березой,*берез/ой,* b' i1 r' o0 z / a4 j,* b' e1 r' o0 z / y4 j,3,ctb1446
березы,*берез/ы,* b' i1 r' o0 z / y4,* b' e1 r' o0 s / y4,3,ata0853
берет,*бер/ет,* b' i1 r' / e0 t,* b' i1 r' / o0 t,11,utc1272
берет,*бер/ет,* b' i1 r' / o0 t,* b' e1 r' / o0 t,11,"ctc1272,ktc0030"
беречь,*беречь,* b' i1 r' e0 ch,* b' e1 r' e0 ch,8,"gta0021,kta0021"
беседу,*бесед/у,* b' i1 s' e0 d / u4,* b' i1 s' e0 d / u4,3,"ctb1156,ktb1156,atb1156"
бесконечно,~бес*конеч+н+о,~ b' i1 s * k a1 n' e0 ch + n + a4,~ b' i1 s * k a1 n' e0 ch + n + a4,1,cta1130
бескорыстно,~бес*корыст+н+о,~ b' i1 s * k a1 r y0 s + n + a4,~ b' e1 s * k a1 r y0 s + n + a4,6,ata0811
беспардонно,~бес*пардон+н+о,~ b' i1 s * p a1 r d o0 n + n + a4,~ b e1 s * p a1 r d o0 n + n + a4,8,mta0097
беспокойное,~бес*покой+н/ое,~ b' i1 s * p a1 k o0 j + n / a4 j i4,~ b' i1 s * p a1 k o0 i4 + n / y4 i4,3,atb1707
беспокойся,~бес*покой^ся,~ b' i1 s * p a1 k o0 j ^ s' a4,~ b' e1 s * p a1 k o0 j ^ s' a4,8,gtb0316
бесполезно,~бес*полез+н+о,~ b' i1 s * p a1 l' e0 z + n + a4,~ b' e1 s * p a1 l' e0 z + n + a4,14,ctc0576
беспощадности,~бес*пощад+н+ост/и,~ b' i1 s * p a1 sc a0 d + n + a4 s' t' / i4,~ b' e1 s * p a1 sc a0 d + n + e4 s' t' / e4,16,gta0044
беспричинная,~бес~при*чин+н/ая,~ b' i1 s ~ p r' i1 * ch i0 n + n / a4 j a4,~ b' i1 s ~ p r' i1 * ch i0 + n / a4 a4,8,ktb0444
бессильнее,~бес*силь+н+ее,~ b' i1 s' * s' i0 l' + n' + i4 - i4,~ b' i1 s' * s' i0 l' + n' + e4,8,gta0151
бессильны,~бес*силь+н/ы,~ b' i1 s' * s' i0 l' + n / y4,~ b' i1 s' * s' i0 l' + n / y4,8,"cta0268,kta0268"
бессмысленно,~бес*смысл+енн+о,~ b' i1 * s s m y0 s l' + i4 n n + a4,~ b' i1 * s m y0 s l' + i4 n + a4,3,"ctb1618,ktb1618,atb1618"
бессознательно,~бес~со*зна+тельн+о,~ b' i1 s ~ s a1 * z n a0 + t' i4 l' n + a4,~ b e1 s ~ s a1 * z n a0 + t' e4 l' n + y4,16,gta0302
бессонницей,~бес*сон+ниц/ей,~ b' i1 s * s o0 n' + - i4 c / y4 j,~ b' i1 s * o0 n' + i4 c / y4,8,"ota0103,sta0103"
бестактностей,~бес*такт+н+ост/ей,~ b' i1 s * t a0 k t + n + a4 s' t' / i4 j,~ b' e1 s * t a0 k + n + y4 s' t' / i4,3,cta0981
бестактности,~бес*такт+н+ост/и,~ b' i1 s * t a0 k t + n + a4 s' t' / i4,~ b' i1 s * t a0 k + n + a4 s' t' / i4,16,kta0073
бестактность,~бес*такт+н+ость,~ b' i1 s * t a0 k t + n + a4 s' t',~ b' i1 s * t a0 k + n + e4 s' t,11,mta0110
бесчувственность,~бес*чувств+енн+ость,~ b' i1 * sc u0 s t v' + i4 n + a4 s' t',~ b' i1 * sc ch u0 s t + v' e4 n + n e4 s',1,cta0140
бетонированная,*бетон+ирова+нн/ая,* b' i1 t a1 n' + i0 r a4 v a4 + n / a4 j a4,* b' i1 t a1 n' + i0 r o4 v o4 + n / e4 e4,3,ata0782
бетонным,*бетон+н/ым,* b' i1 t o0 n + n / y4 m,* b' i1 t o0 n + / y4 m,3,"cta0785,kta0785,ata0785"
бетховена,*бетховен/а,* b' i1 t h o0 v' i4 n / a4,* b' i1 t h o0 v' e4 n / a4,11,"gtb0097,atb0097"
библиографом,*библиограф/ом,* b' i1 b l' i1 o0 g r a4 f / a4 m,* b' e1 b l' e1 o0 g r a0 f / a4 m,8,gta0018
библиотеки,*библиотек/и,* b' i1 b l' i1 a1 t' e0 k' / i4,* b' i1 b l' e1 a1 t' e0 k' / e4,8,"cta0018,gta0018,sta0018"
бидончик,*бидон+чик,* b' i1 d o0 n' + ch i4 k,* b' e1 d o0 n' + sc i4 k,7,sta0148
билеты,*билет/ы,* b' i1 l' e0 t / y4,* b' i1 l' e0 t / y4,3,"ctb0811,ktb0811,atb0811"
бильярде,*бильярд/е,* b' i1 l' j a0 r d' / i4,* b' i1 l' j a0 r d' / e4,3,"ctb1823,ktb1823"
биржевые,*бирж+ев/ые,* b' i1 r zh + y1 v / y0 j i4,* b' i1 r zh + y1 v / y0 i4,3,"kta1079,ata1079"
бить,*б+и/ть,* b' + i0 / t',* b' + i0 / t',24,"ctb0382,ctb0437,gtb0382,gtb0437,ktb0382,ktb0437,otb0382,otb0437,stb0382,stb0437,utb0382,utb0437,atb0382,atb0437,mtb0382,mtb0437"
благо,*благ/о,* b l a0 g / a4,* b l a0 g / a4,5,"ktb1710,ste0318"
благодарил,*благодар+и+л,* b l a2 g a2 d a1 r' + i0 + l,* b l a2 g a2 d a1 r' + i0 + l,8,ota0204
благодарить,*благодар+и/ть,* b l a2 g a2 d a1 r' + i0 / t',* b l e1 g y1 d a1 r' + i0 / t',8,ctb0525
благодарностью,*благодар+н+ость/ю,* b l a2 g a1 d a0 r + n + a4 s' t' / j u4,* b l a2 g a1 d a0 r + n + y4 s' t' / j u4,10,"ctb0630,atb0630"
благодарят,*благодар/ят,* b l a2 g a2 d a1 r' / a0 d,* b l a2 g a2 d a1 r' / a0 t,3,ata0997
благожелательно,*благ=о*жела+тельн+о,* b l a2 g = a2 * zh y1 l a0 + t' i4 l' n + a4,* b l a2 g = y1 * zh y1 l a0 + t' e1 l' n + a4,8,mta0460
благородно,*благ=о*род+н+о,* b l a2 g = a1 * r o0 d + n + a4,* b l a2 g = a1 * r o0 d + n + a4,6,"ctb1175,atb0877,atb1175"
благородным,*благород+н/ым,* b l a2 g a1 r o0 d + n / y4 m,* b l a2 g a1 r o0 d + n / y4 m,3,cta0905
благородными,*благород+н/ыми,* b l a2 g a1 r o0 d + n / y4 m' i4,* b l y1 g a1 r o0 d + n / y4 m' e4,3,kta0864
блаженной,*блаж+енн/ой,* b l a1 zh + e0 n / a4 j,* b l a1 zh + e0 n / y4,3,"ctb1062,ktb1062"
блаженства,*блаж+енств/а,* b l a1 zh + e0 n s t v / a4,* b l a1 sh + e0 n s t v / a4,3,ata0638
блаженство,*блаж+енств/о,* b l a1 zh + e0 n s t v / a4,* b l a1 zh + e0 n s t v / a4,3,"cta0639,kta0639,ata0639"
бледное,*бледн/ое,* b l' e0 d n / a4 j i4,* b l' e0 d n / e4 e4,3,kta0654
бледности,*бледн+ост/и,* b l' e0 d n + a4 s' t' / i4,* b l' e0 d n + a4 s' t' / i4,8,"kta0386,ata0386"
блеска,*блеск/а,* b l' e0 s k / a4,* b l' e0 s k / a4,6,"cta0910,cta1071,kta1071,ata1071"
