word,transcript,freq
звё0зд,z v' o0 z t,7459
по0ст,p o0 s t,7459
стра0сть,s t r a0 s' t',7459
э0,e0,7459
а0кт,a0 k t,7459
пи0л,p' i0 l,7358
кру0г,k r u0 k,7358
все0,f s' e0,7358
ве0щь,v' e0 sc,7257
цве0т,c v' e0 t,7257
те0кст,t' e0 k s t,7257
зло0,z l o0,7156
клю0ч,k l' u0 ch,7156
скры0ть,s k r y0 t',7156
ждё0т,zh d' o0 t,7156
да0м,d a0 m,7056
спло0шь,s p l o0 sh,6955
ти0п,t' i0 p,6955
пе0ть,p' e0 t',6955
ско0ль,s k o0 l',6955
шту0к,sh t u0 k,6955
ды0м,d y0 m,6955
и0шь,i0 sh,6955
сне0г,s' n' e0 k,6955
бо0й,b o0 j,6955
хо0д,h o0 t,6854
ли0ст,l' i0 s t,6753
фа0кт,f a0 k t,6753
це0н,c e0 n,6753
дво0р,d v o0 r,6652
е0л,j e0 l,6652
дву0м,d v u0 m,6552
то0,t o0,6552
сти0ль,s' t' i0 l',6451
мо0ст,m o0 s t,6451
бы0ть,b y0 t',6451
плю0с,p l' u0 s,6350
пы0ль,p y0 l',6350
кла0сс,k l a0 s,6350
ша0г,sh a0 k,6350
зло0,z l o0,6350
ча0й,ch a0 j,6350
ма0рк,m a0 r k,6350
ра0з,r a0 s,6249
шу0м,sh u0 m,6249
а0й,a0 j,6249
тво0й,t v o0 j,6249
сто0й,s t o0 j,6249
во0лн,v o0 l n,6249
ле0т,l' e0 t,6249
ба0нк,b a0 n k,6148
зло0й,z l o0 j,6048
во0н,v o0 n,6048
впре0дь,f p r' e0 t',6048
дно0,d n o0,6048
кре0ст,k r' e0 s t,6048
взры0в,v z r y0 f,5947
мо0ст,m o0 s t,5947
ро0д,r o0 t,5947
сле0д,s l' e0 t,5947
до0лг,d o0 l k,5947
се0й,s' e0 j,5947
гря0зь,g r' a0 s',5846
да0й,d a0 j,5846
жда0л,zh d a0 l,5846
пе0л,p' e0 l,5846
кре0ст,k r' e0 s t,5846
пы0ль,p y0 l',5846
то0н,t o0 n,5846
гру0дь,g r u0 t',5846
я0,j a0,5846
ло0жь,l o0 sh,5745
но0ж,n o0 sh,5745
те0л,t' e0 l,5745
ве0к,v' e0 k,5644
стро0й,s t r o0 j,5644
сту0к,s t u0 k,5644
зна0ть,z n a0 t',5544
но0рм,n o0 r m,5544
хво0ст,h v o0 s t,5544
вну0трь,v n u0 t r',5544
тьма0,t' m a0,5544
чьи0,ch j i0,5544
лу0ч,l u0 ch,5544
при0нц,p r' i0 n c,5544
ли0ц,l' i0 c,5443
гро0б,g r o0 p,5443
гря0зь,g r' a0 s',5443
зва0ть,z v a0 t',5443
ли0ст,l' i0 s t,5443
гу0б,g u0 p,5443
съе0зд,s j e0 z t,5443
ко0ль,k o0 l',5443
у0ж,u0 sh,5443
зна0л,z n a0 l,5342
бо0рт,b o0 r t,5342
во0лк,v o0 l k,5342
кри0к,k r' i0 k,5241
ле0д,l' e0 t,5241
все0,f s' e0,5241
да0ть,d a0 t',5141
льва0,l' v a0,5141
зва0л,z v a0 l,5141
хра0м,h r a0 m,5141
ка0рл,k a0 r l,5141
а0ж,a0 sh,5141
и0х,i0 h,5141
вку0с,f k u0 s,5040
жда0л,zh d a0 l,5040
лбу0,l b u0,5040
сда0л,z d a0 l,5040
спя0т,s p' a0 t,5040
ве0рх,v' e0 r h,5040
впря0мь,f p r' a0 m',5040
жду0т,zh d u0 t,5040
ри0с,r' i0 s,5040
кто0,k t o0,5040
сэ0р,s e0 r,5040
зво0н,z v o0 n,4939
се0м,s' e0 m,4939
це0пь,c e0 p',4939
вздо0р,v z d o0 r,4939
ру0бль,r u0 b l',4939
по0лк,p o0 l k,4939
лжи0,l zh y0,4838
сбо0р,z b o0 r,4838
льда0,l' d a0,4838
да0р,d a0 r,4838
стро0к,s t r o0 k,4838
ве0с,v' e0 s,4838
е0сть,j e0 s' t',4838
сда0ть,z d a0 t',4737
съе0л,s j e0 l,4737
сё0м,s' o0 m,4737
кра0й,k r a0 j,4737
гу0л,g u0 l,4637
взя0т,v z' a0 t,4637
гре0х,g r' e0 h,4637
па0р,p a0 r,4637
рто0м,r t o0 m,4637
се0ть,s' e0 t',4637
ха0,h a0,4637
хо0р,h o0 r,4637
бра0к,b r a0 k,4637
фло0т,f l o0 t,4637
не0т,n' e0 t,4637
во0д,v o0 t,4536
дню0,d' n' u0,4536
нё0с,n' o0 s,4536
ке0м,k' e0 m,4536
ро0т,r o0 t,4536
рту0,r t u0,4536
трё0х,t r' o0 h,4536
че0й,ch e0 j,4536
гро0м,g r o0 m,4536
пу0нкт,p u0 n k t,4536
трё0м,t r' o0 m,4536
во0йн,v o0 j n,4536
ку0рс,k u0 r s,4536
на0,n a0,4536
ли0ц,l' i0 c,4536
га0з,g a0 s,4435
зву0к,z v u0 k,4435
клу0б,k l u0 p,4435
ре0к,r' e0 k,4435
ро0д,r o0 t,4435
сме0х,s m' e0 h,4435
те0нь,t' e0 n',4435
чья0,ch j a0,4435
е0сть,j e0 s' t',4435
жду0,zh d u0,4435
пё0с,p' o0 s,4435
пье0т,p' j e0 t,4435
ба0нк,b a0 n k,4435
тьме0,t' m' e0,4435
па0н,p a0 n,4435
вку0с,f k u0 s,4334
да0м,d a0 m,4334
клю0ч,k l' u0 ch,4334
ле0чь,l' e0 ch,4334
пья0н,p' j a0 n,4334
ко0т,k o0 t,4334
а0кт,a0 k t,4334
ни0х,n' i0 h,4334
са0м,s a0 m,4334
вхо0д,f h o0 t,4334
ла0д,l a0 t,4233
про0ст,p r o0 s t,4233
пью0т,p' j u0 t,4233
то0м,t o0 m,4233
ше0ф,sh e0 f,4233
врё0шь,v r' o0 sh,4133
пи0л,p' i0 l,4133
счё0л,sc ch o0 l,4133
мо0зг,m o0 z k,4133
сте0пь,s' t' e0 p',4133
фо0нд,f o0 n t,4133
по0п,p o0 p,4133
ча0й,ch a0 j,4133
гле0б,g l' e0 p,4133
жда0ть,zh d a0 t',4032
клу0б,k l u0 p,4032
дне0,d' n' e0,4032
сло0й,s l o0 j,4032
да0ль,d a0 l',4032
лё0д,l' o0 t,4032
все0,f s' e0,4032
ру0б,r u0 p,3931
спо0р,s p o0 r,3931
бро0сь,b r o0 s',3931
ви0шь,v' i0 sh,3931
да0н,d a0 n,3931
е0ст,j e0 s t,3931
кры0м,k r y0 m,3931
су0ть,s u0 t',3931
сла0б,s l a0 p,3931
а0,a0,3931
о0н,o0 n,3931
че0м,ch e0 m,3830
сте0пь,s' t' e0 p',3830
тру0б,t r u0 p,3830
тьму0,t' m u0,3830
це0пь,c e0 p',3830
шта0б,sh t a0 p,3830
гне0в,g n' e0 f,3830
дря0нь,d r' a0 n',3830
мо0зг,m o0 z k,3830
ра0б,r a0 p,3830
пе0чь,p' e0 ch,3830
су0п,s u0 p,3830
всё0,f s' o0,3830
ввё0л,v v' o0 l,3729
сме0сь,s m' e0 s',3729
встре0ч,f s t r' e0 ch,3729
джо0н,d zh o0 n,3729
тру0п,t r u0 p,3729
шта0б,sh t a0 p,3729
на0м,n a0 m,3729
пье0р,p' j e0 r,3729
бью0т,b' j u0 t,3629
жду0,zh d u0,3629
и0ль,i0 l',3629
спа0с,s p a0 s,3629
фра0з,f r a0 s,3629
по0л,p o0 l,3629
тру0п,t r u0 p,3629
ва0м,v a0 m,3629
то0м,t o0 m,3629
во0р,v o0 r,3528
да0й,d a0 j,3528
же0ртв,zh e0 r t f,3528
би0л,b' i0 l,3528
ми0ль,m' i0 l',3528
бло0к,b l o0 k,3528
вда0ль,v d a0 l',3427
вза0д,v z a0 t,3427
жду0т,zh d u0 t,3427
зя0ть,z' a0 t',3427
со0ль,s o0 l',3427
ру0сь,r u0 s',3427
ве0с,v' e0 s,3326
внё0с,v n' o0 s,3326
врё0т,v r' o0 t,3326
вре0д,v r' e0 t,3326
жа0р,zh a0 r,3326
не0,n' e0,3326
пьё0т,p' j o0 t,3326
по0т,p o0 t,3326
спо0рт,s p o0 r t,3326
стра0сть,s t r a0 s' t',3326
вра0ть,v r a0 t',3326
но0ж,n o0 sh,3326
ры0б,r y0 p,3326
тьфу0,t' f u0,3326
те0м,t' e0 m,3326
е0й,j e0 j,3326
стро0й,s t r o0 j,3326
бра0к,b r a0 k,3225
бре0д,b r' e0 t,3225
га0з,g a0 s,3225
гне0в,g n' e0 f,3225
да0в,d a0 f,3225
ды0м,d y0 m,3225
пти0ц,p t' i0 c,3225
се0ть,s' e0 t',3225
ска0л,s k a0 l,3225
сле0д,s l' e0 t,3225
сме0л,s m' e0 l,3225
сплю0,s p l' u0,3225
ти0п,t' i0 p,3225
ще0ль,sc e0 l',3225
льдо0м,l' d o0 m,3225
пле0ч,p l' e0 ch,3225
съе0сть,s j e0 s' t',3225
пе0ть,p' e0 t',3225
все0,f s' e0,3225
ма0ркс,m a0 r k s,3225
на0пр,n a0 p r,3225
пе0й,p' e0 j,3225
мэ0р,m e0 r,3225
кли0м,k l' i0 m,3225
ве0сть,v' e0 s' t',3125
взо0р,v z o0 r,3125
глу0бь,g l u0 p',3125
па0л,p a0 l,3125
со0т,s o0 t,3125
сти0ль,s' t' i0 l',3125
фла0г,f l a0 k,3125
фу0,f u0,3125
бьё0т,b' j o0 t,3125
во0н,v o0 n,3125
зло0,z l o0,3125
тру0с,t r u0 s,3125
и0гр,i0 g r,3125
на0с,n a0 s,3125
мя0ч,m' a0 ch,3125
во0,v o0,3024
лба0,l b a0,3024
па0рк,p a0 r k,3024
пью0,p' j u0,3024
пу0нкт,p u0 n k t,3024
се0й,s' e0 j,3024
сло0й,s l o0 j,3024
сце0н,s c e0 n,3024
у0ст,u0 s t,3024
ци0фр,c y0 f r,3024
бы0т,b y0 t,3024
пье0с,p' j e0 s,3024
ри0м,r' i0 m,3024
че0рт,ch e0 r t,3024
ра0з,r a0 s,3024
фро0нт,f r o0 n t,3024
ша0р,sh a0 r,3024
мо0г,m o0 k,3024
льду0,l' d u0,3024
мы0шц,m y0 sh c,3024
вхо0д,f h o0 t,2923
глу0п,g l u0 p,2923
дно0м,d n o0 m,2923
дро0в,d r o0 f,2923
ду0л,d u0 l,2923
па0рк,p a0 r k,2923
пла0ч,p l a0 ch,2923
ра0н,r a0 n,2923
ста0в,s t a0 f,2923
у0х,u0 h,2923
лбу0,l b u0,2923
мы0шь,m y0 sh,2923
пи0р,p' i0 r,2923
по0рт,p o0 r t,2923
ро0с,r o0 s,2923
ру0сь,r u0 s',2923
спо0р,s p o0 r,2923
фи0рм,f' i0 r m,2923
бла0г,b l a0 k,2923
сё0м,s' o0 m,2923
ха0н,h a0 n,2923
ва0с,v a0 s,2923
мо0й,m o0 j,2923
то0ль,t o0 l',2923
бу0кв,b u0 k f,2822
вну0к,v n u0 k,2822
все0,f s' e0,2822
жё0н,zh o0 n,2822
пе0л,p' e0 l,2822
ри0ск,r' i0 s k,2822
ру0ль,r u0 l',2822
сня0в,s' n' a0 f,2822
во0ждь,v o0 zh t',2822
вну0трь,v n u0 t r',2721
да0р,d a0 r,2721
да0л,d a0 l,2721
же0ст,zh e0 s t,2721
зна0й,z n a0 j,2721
ле0зть,l' e0 s' t',2721
лбо0м,l b o0 m,2721
ну0жд,n u0 zh t,2721
па0р,p a0 r,2721
по0ст,p o0 s t,2721
се0,s' e0,2721
слу0жб,s l u0 zh p,2721
со0ль,s o0 l',2721
ста0р,s t a0 r,2721
та0йн,t a0 j n,2721
жи0знь,zh y0 z' n',2721
ка0рт,k a0 r t,2721
ми0л,m' i0 l,2721
но0,n o0,2721
се0л,s' e0 l,2721
су0мм,s u0 m m,2721
бе0с,b' e0 s,2721
ни0м,n' i0 m,2721
ри0м,r' i0 m,2721
ме0ч,m' e0 ch,2721
тьмы0,t' m y0,2721
ма0кс,m a0 k s,2721
вдо0ль,v d o0 l',2621
вкла0д,f k l a0 t,2621
гру0сть,g r u0 s' t',2621
дня0м,d' n' a0 m,2621
ко0сть,k o0 s' t',2621
кре0мль,k r' e0 m l',2621
ко0м,k o0 m,2621
слу0х,s l u0 h,2621
фо0нд,f o0 n t,2621
хво0ст,h v o0 s t,2621
бе0й,b' e0 j,2621
ри0с,r' i0 s,2621
сви0ст,s v' i0 s t,2621
ста0л,s t a0 l,2621
те0,t' e0,2621
фло0т,f l o0 t,2621
сме0сь,s m' e0 s',2621
ба0л,b a0 l,2520
бьё0т,b' j o0 t,2520
бле0ск,b l' e0 s k,2520
да0нь,d a0 n',2520
дну0,d n u0,2520
ра0й,r a0 j,2520
рё0в,r' o0 f,2520
скла0д,s k l a0 t,2520
сны0,s n y0,2520
шу0т,sh u0 t,2520
а0,a0,2520
са0м,s a0 m,2520
сре0дь,s r' e0 t',2520
ша0р,sh a0 r,2520
не0др,n' e0 d r,2520
плы0л,p l y0 l,2520
сво0й,s v o0 j,2520
я0,j a0,2520
бы0т,b y0 t,2419
да0л,d a0 l,2419
зу0б,z u0 p,2419
ко0сть,k o0 s' t',2419
ме0сть,m' e0 s' t',2419
ми0г,m' i0 k,2419
пла0щ,p l a0 sc,2419
ра0й,r a0 j,2419
слы0шь,s l y0 sh,2419
счё0т,s ch o0 t,2419
тре0ть,t r' e0 t',2419
чьё0,ch j o0,2419
шка0ф,sh k a0 f,2419
ва0н,v a0 n,2419
ве0рь,v' e0 r',2419
да0шь,d a0 sh,2419
жа0н,zh a0 n,2419
зна0л,z n a0 l,2419
ло0жь,l o0 sh,2419
пла0чь,p l a0 ch,2419
то0,t o0,2419
те0х,t' e0 h,2419
на0с,n a0 s,2419
вра0з,v r a0 s,2318
мо0щь,m o0 sc,2318
му0х,m u0 h,2318
по0л,p o0 l,2318
пра0х,p r a0 h,2318
ржи0,r zh y0,2318
спро0с,s p r o0 s,2318
съе0зд,s j e0 z t,2318
би0л,b' i0 l,2318
два0,d v a0,2318
льво0в,l' v o0 f,2318
ско0т,s k o0 t,2318
ци0кл,c y0 k l,2318
всё0,f s' o0,2318
де0нь,d' e0 n',2318
до0н,d o0 n,2318
ло0рд,l o0 r t,2318
